scenario,model,fold,removed_top_n_hot_side_effects,MAP,auc_all,nDCG,P1,P5,P10,P15,R1,R5,R10,R15,auc_rank
warm,HSTrans,9,50,0.026703947034776927,0.7169118509529826,0.05176739014568526,0.004,0.014800000000000006,0.018199999999999987,0.018666666666666665,0.00032407407407407406,0.003877953943344003,0.016019389083181908,0.03068262516881668,
cold,CAFNet,0,20,0.20041758134264726,,0.5128350310170467,0.3013698630136986,0.2657534246575342,0.25890410958904114,0.24200913242009126,0.016777389905999834,0.071378639789313,0.13354503058699438,0.17475718962541098,0.7961110941654872
cold,A3Net,0,20,0.18017186577886923,,0.4247802128889583,0.2328767123287671,0.21095890410958903,0.22739726027397258,0.21735159817351596,0.012302032079659287,0.044491929820313116,0.09809153227790682,0.1454580388447887,0.8005364352801856
cold,RF,0,20,0.09231631848220531,,0.25676982533413406,0.0,0.09589041095890413,0.10547945205479448,0.10867579908675801,0.0,0.017250610770906293,0.04747161612273743,0.07528012062434203,0.7541728394031411
cold,XGBoost,0,20,0.06879196640258062,,0.08061593542397802,0.0,0.03013698630136986,0.031506849315068496,0.031050228310502283,0.0,0.011736607378874227,0.01972905498948701,0.02316415869406685,0.7292343461381559
cold,Global popularity,0,20,0.1848766201015673,,0.4961558482301439,0.273972602739726,0.24383561643835613,0.2410958904109589,0.23105022831050223,0.012719978217548082,0.056591811538079,0.09242696208021427,0.1357187345653837,0.82790870467557
cold,HSTrans,0,20,0.19468536641014425,,0.4991184460159589,0.3013698630136986,0.2575342465753424,0.22602739726027388,0.2127853881278538,0.02368559400004196,0.08215800441099161,0.12485284264811827,0.15919783867985618,0.826814118928034
cold,CAFNet,0,50,0.1509167249077369,,0.403080651782341,0.2191780821917808,0.17534246575342466,0.1753424657534246,0.15981735159817353,0.021995519958332394,0.06700352262630735,0.12735345255547897,0.15545089169928109,0.7563167468062539
cold,A3Net,0,50,0.12779259939918566,,0.3571139719368097,0.2328767123287671,0.1698630136986301,0.1616438356164383,0.1497716894977169,0.012734390248220092,0.03916152767756901,0.09533980429515744,0.13387201603012677,0.7717788908703076
cold,RF,0,50,0.061096538480558606,,0.14709632041333232,0.0136986301369863,0.038356164383561646,0.05068493150684933,0.05205479452054796,0.0001779042874933286,0.012645387781081477,0.031630543856453065,0.042235172555668644,0.724354913641315
cold,XGBoost,0,50,0.04830536854081988,,0.057309945652148725,0.0,0.02465753424657534,0.01917808219178082,0.015525114155251141,0.0,0.0071023023584233895,0.00762867243795848,0.008194566712953181,0.6994652154177574
