scenario,model,fold,mAP,AUROC,AUPR,nDCG@10,P@1,P@15,R@1,R@15,Spearman,RMSE,MAE,pearson,drugAUC,drugAUPR,P5,P10,R5,R10,seconds,auc_rank
Cold start,DSGAT,0,0.3654359698268646,0.8190828018283405,0.2505325399995743,0.7542451407268888,0.56,0.4444444444444442,0.0243359551044928,0.2659265707942453,0.4382264154087284,1.585072173271416,1.370319,0.4188036317450868,0.8697187791378074,0.365457932410112,0.6080000000000003,0.5080000000000001,0.1314675412159604,0.2131987516243313,,
Cold start,DSGAT,1,0.3944075316196818,0.8421682524726796,0.2766934247386441,0.8343453028034006,0.7333333333333333,0.4986666666666667,0.0301901443584675,0.2449242250644788,0.4326056557704254,1.3940162455708127,1.1247903,0.399598079564237,0.8841534263924956,0.3947572987721465,0.624,0.5586666666666669,0.1133916202285239,0.1835966961921248,,
Cold start,DSGAT,2,0.4254331189801895,0.8257554370929494,0.3234616892282611,0.8368773018071792,0.7066666666666667,0.5875555555555557,0.0212030295733405,0.2262184181372526,0.4242860178914125,1.3449381521249897,1.0648196,0.4152290747677408,0.8685647463223728,0.4254862242769258,0.68,0.62,0.092296413419268,0.1667889065766317,,
Cold start,DSGAT,3,0.3845057735468127,0.8277967025008179,0.246392167005165,0.8295169855110706,0.72,0.4666666666666665,0.0362598981117145,0.2731382611825728,0.4289448404723036,1.3512754190543703,1.0448215,0.4103492828150537,0.877007109762672,0.3845370141863473,0.6159999999999998,0.5293333333333332,0.1396493416113887,0.2207823627527837,,
Cold start,DSGAT,4,0.4043717935885802,0.8512497428521505,0.30687373243279,0.8600413302161496,0.7333333333333333,0.5084444444444446,0.033336378833271,0.2741879250654777,0.2849337683327063,1.5109453613329211,1.2294208,0.3074420346971081,0.8845821248356107,0.4044152290526332,0.6346666666666668,0.5653333333333334,0.131555071717848,0.2153425202399423,,
Cold start,DSGAT,5,0.3814167074893019,0.7893951953736329,0.2609894267528485,0.8026391619913115,0.6266666666666667,0.5146666666666667,0.0256235826083107,0.2350254041173481,0.4915826999167247,1.4875700445272746,1.2613709,0.459012588596429,0.8492997489712465,0.381455866470278,0.616,0.5639999999999997,0.1069819990199862,0.1790464676423191,,
Cold start,DSGAT,6,0.4020344451683378,0.8218792647954214,0.2863500301499776,0.8371050517242229,0.76,0.5031111111111113,0.0318766072822404,0.2461220976413872,0.4853554049609732,1.274768765368448,1.0162054,0.4699803221809258,0.877351075944437,0.4020502701830045,0.6426666666666665,0.5813333333333335,0.1137371447260946,0.1996660890086948,,
Cold start,DSGAT,7,0.3606245248708221,0.7908876407239117,0.2253089457866499,0.7682730950715538,0.6133333333333333,0.4364444444444443,0.0283571518111085,0.2132551565694505,0.5134623009380407,1.3157703890169323,1.0721933,0.5039551426829593,0.8702975151746593,0.3608694441634122,0.5839999999999999,0.5079999999999998,0.1159113849179985,0.1790771089150439,,
Cold start,DSGAT,8,0.3472294695855788,0.8222643065998481,0.2210389939867418,0.7653759307288781,0.6666666666666666,0.4426666666666666,0.0294264638700411,0.240759464423215,0.4260459415944751,1.402116209818964,1.1059213,0.4037207485351647,0.8738912093664248,0.3472836390818439,0.5519999999999999,0.4906666666666663,0.1080235929133054,0.1835625927167445,,
Cold start,DSGAT,9,0.4242281960201491,0.8297173065832572,0.290697575464383,0.847312092982121,0.7066666666666667,0.5262222222222223,0.0382138761572645,0.3067946763150727,0.4522673993505343,1.3841648708716925,1.143393,0.4287827764400797,0.883446379472302,0.4246132299189579,0.6666666666666665,0.6026666666666666,0.1485427375188201,0.2549095405474419,,
Warm start,RF,0,0.0476552641349829,0.8364149841385291,0.0224090399133261,0.1193255375744229,0.0314960629921259,0.0284514435695537,0.0066614645502909,0.1131745230783426,0.3129605959466967,1.5447596563073622,1.2006411677218387,0.3142798067041771,0.8026443655842144,0.04823872935042,0.0333858267716534,0.0281889763779527,0.0513924446116082,0.0761065163941195,10.15,
Warm start,RF,1,0.0458142712733598,0.8360066086821584,0.0219263982068074,0.1342793312753007,0.0357142857142857,0.0305383022774326,0.0125694504770591,0.1213160541124178,0.3193812933446853,1.5285577194459106,1.1914096113976027,0.3245285276999856,0.8065150077039833,0.0463635181936023,0.0332298136645962,0.0315217391304347,0.0453143937940872,0.0837746264452435,10.55,
Warm start,RF,2,0.041653958659342,0.8326766603628084,0.0223539526782819,0.1154136606974895,0.03206106870229,0.0269720101781169,0.0087745014004905,0.0949610729662111,0.306587718093996,1.5682193645832692,1.2286462531602884,0.3105054534326236,0.7962325910629438,0.0424218704502844,0.0305343511450381,0.028091603053435,0.0379871927433062,0.0652320838758028,10.75,
Warm start,RF,3,0.0466881881856471,0.8371705735039481,0.0227695368177263,0.1320676530136689,0.0383435582822085,0.0306748466257668,0.0103903063461887,0.1185357593415829,0.3292023410851445,1.52867028883252,1.191137836618146,0.3342799106748893,0.8061652853599264,0.0471378358347627,0.0328220858895705,0.030521472392638,0.0419875328272428,0.0836270677106428,10.09,
Warm start,RF,4,0.0483750633835831,0.8339642323243629,0.0225010805292778,0.124178449709565,0.036979969183359,0.0285567539804827,0.0125671093384579,0.1171122417392359,0.3244856064094468,1.5315319785069887,1.1923967302317742,0.3221437027574542,0.7978215616267398,0.049200914365628,0.0311248073959937,0.0297380585516178,0.0488776945743336,0.0816457944601949,10.71,
Warm start,RF,5,0.0505543124493668,0.8362538728312137,0.0216251732004348,0.1302562579011807,0.0415384615384615,0.0290256410256409,0.0117517417729968,0.1206923227342346,0.3121580214186832,1.5436032972421176,1.2104016806887103,0.3140704993968458,0.802740032147526,0.0511254815380389,0.0307692307692307,0.0295384615384615,0.0490418944602094,0.087606993527042,10.16,
Warm start,RF,6,0.048004076374515,0.836783439800812,0.0223946715668058,0.1191942018342148,0.0310077519379844,0.0271834625322996,0.0093450110784206,0.1092705605763054,0.3295481562773376,1.5294255200243312,1.1919185336118618,0.3329881884644465,0.8058950709044674,0.0485688314095874,0.0303875968992247,0.0277519379844961,0.0464594061395721,0.0780359582664938,9.9,
Warm start,RF,7,0.048610588826,0.8404924260196966,0.0231090943244658,0.1248745155338751,0.0340557275541795,0.0299277605779153,0.0108212915681955,0.1242474398061018,0.3395218775088381,1.5070338505773129,1.1618352349246768,0.3384487492820628,0.8089123444133687,0.0492969048550068,0.0291021671826625,0.0314241486068111,0.0369479358353069,0.0869581190229228,10.72,
Warm start,RF,8,0.0478936710114986,0.8377800708547136,0.0225834348582188,0.1239869357213574,0.0371517027863777,0.0271413828689369,0.0090957340523094,0.0979578758911051,0.2784211511082743,1.5503802030838534,1.2086616075344527,0.2801151186607267,0.8071582532223998,0.0484983211464006,0.0303405572755417,0.0292569659442724,0.0424121694891372,0.0727159260549815,9.93,
Warm start,RF,9,0.0433979728908857,0.836949567604432,0.0219392490238209,0.1066852779159849,0.0311526479750778,0.0251298026998961,0.0091903522477621,0.1028027676323797,0.3337758022881363,1.5011157312037144,1.165821778726726,0.336965786580333,0.804210972654258,0.0439195022625719,0.0286604361370716,0.0250778816199376,0.0419541861835915,0.0702674161915845,10.56,
Warm start,XGBoost,0,0.06189654327701,0.8216436663616768,0.0267063978533027,0.1904501180425155,0.0440944881889763,0.0360104986876639,0.0134598346544295,0.1282303823808812,0.2995599791272138,1.6953706731155032,1.4774902462798545,0.3124029180135896,0.7922475996203309,0.06260449243432,0.0614173228346456,0.0406299212598426,0.0816543529461236,0.1006665184822854,9.58,
Warm start,XGBoost,1,0.0547145219689973,0.8178942892529925,0.027032641825434,0.1726128979967364,0.0357142857142857,0.0341614906832297,0.0112558715701437,0.1304445924913563,0.3081814058203144,1.688819563939635,1.4773948136817547,0.3164254375787058,0.7981486709506284,0.0553530015221061,0.0534161490683229,0.0397515527950311,0.0686714268975993,0.1047816782634838,8.9,
