scenario,fold,mode,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15
warm,3,raw,0.9273524128779269,0.12845553625514258,712137,3708,652,0.2638380916603566,0.3272131959337645,0.35736196319018404,0.13210633946830264,0.42596293941704266
warm,3,row_zscore,0.8722532095467241,0.047843545444601,712137,3708,652,0.25930674550461646,0.3265339793786563,0.34355828220858897,0.13098159509202456,0.43539657035700496
warm,3,row_percentile,0.8695059065032454,0.060368962314498384,712137,3708,652,0.2547085614701906,0.31922504588717654,0.3450920245398773,0.13016359918200407,0.41836982414188056
warm,4,raw,0.9228110045333103,0.12370015580040117,712137,3708,649,0.24154009218490968,0.3037496124506112,0.31278890600924497,0.12727272727272726,0.4179938073018861
warm,4,row_zscore,0.8628900438945172,0.04542347629081761,712137,3708,649,0.246714590288806,0.31250753871291304,0.31278890600924497,0.12799178222907037,0.4206152215409688
warm,4,row_percentile,0.860835580838659,0.05585030730304783,712137,3708,649,0.23351408979567229,0.29777987135987355,0.3035439137134052,0.12675911658962508,0.4066777115643527
warm,5,raw,0.9277947256886986,0.12075936082174141,712137,3708,650,0.25834946699183636,0.32627051933238177,0.3292307692307692,0.1332307692307692,0.44615431909204456
warm,5,row_zscore,0.8730914603160477,0.04415863941687315,712137,3708,650,0.2625991345657677,0.32960900264228976,0.33692307692307694,0.13189743589743588,0.44188373014345916
warm,5,row_percentile,0.8696295819756811,0.06116949245033479,712137,3708,650,0.25361266757711837,0.31880589533699993,0.3292307692307692,0.13076923076923078,0.4335882888141946
warm,6,raw,0.9236354616201898,0.1277100146412657,712137,3708,645,0.25251675907403737,0.3196590697835177,0.32868217054263565,0.13333333333333333,0.4295836722223605
warm,6,row_zscore,0.8701723967277228,0.04999298383753251,712137,3708,645,0.2578315199170792,0.3304777376932913,0.34728682170542635,0.13498708010335916,0.4354953878309746
warm,6,row_percentile,0.8680235736766277,0.05867397431713089,712137,3708,645,0.24724308443481086,0.3142605503443436,0.31007751937984496,0.13023255813953488,0.41212532687804226
warm,7,raw,0.9270666001564033,0.13517390317575778,712137,3708,646,0.26480117589180163,0.3381028104933345,0.3668730650154799,0.13302373581011354,0.44477012102205504
warm,7,row_zscore,0.8679073647381275,0.05054158397118673,712137,3708,646,0.26580683334150434,0.3381263503496558,0.3668730650154799,0.13209494324045404,0.44621071906885856
warm,7,row_percentile,0.8645341319544274,0.06198701026747423,712137,3708,646,0.252381387833588,0.32213424386128814,0.33126934984520123,0.1303405572755418,0.4289999093031933
warm,8,raw,0.9298292102891969,0.13210956886160335,712137,3708,646,0.2679097027872295,0.33563619651446175,0.3637770897832817,0.13384932920536635,0.4268803336781971
warm,8,row_zscore,0.8710596901785584,0.04891537220765688,712137,3708,646,0.2663299748384434,0.33333781558375086,0.3560371517027864,0.13508771929824562,0.4314253836393705
warm,8,row_percentile,0.8675207068892457,0.06373257456386788,712137,3708,646,0.2583649626417708,0.32563756880713096,0.34365325077399383,0.13178534571723424,0.41659065644577525
warm,9,raw,0.9260631172629668,0.12198129060804669,712128,3699,642,0.25718189190752905,0.3217728060275248,0.338006230529595,0.12647975077881618,0.42951339882902406
warm,9,row_zscore,0.8687202179696567,0.04400870912586993,712128,3699,642,0.25499382591110925,0.32038143273257164,0.32242990654205606,0.1260643821391485,0.44216404488419336
warm,9,row_percentile,0.8667297520064606,0.05680011218926263,712128,3699,642,0.24615807710336313,0.3105995272029253,0.3130841121495327,0.12429906542056074,0.417594110715472
