model,matched_AUROC_mean,matched_AUROC_std,matched_AUROC_n,matched_AUPR_mean,matched_AUPR_std,matched_AUPR_n,pos_gt_ctrl_rate_mean,pos_gt_ctrl_rate_std,pos_gt_ctrl_rate_n
CAFNet-D + ATC+target kNN k=5 beta=0.3,0.6433163202567082,0.10471601410789688,750,0.6777615054562983,0.09875602421809633,750,0.6892447350892057,0.12222517794794577,750
CAFNet-D + ATC+target kNN k=5 beta=0.5,0.6370106537354021,0.10347393551058606,750,0.6698515325625548,0.0987988805254876,750,0.6799851331522265,0.12087689021700525,750
CAFNet-D + ATC+target kNN k=5 beta=0.8,0.6324933309268533,0.10311281999541884,750,0.6643852295360503,0.09871732875517572,750,0.6734057104336303,0.11944292524923103,750
CAFNet-D + ATC+target kNN k=5 beta=1.0,0.6310540907960694,0.10342202900689904,750,0.6627137924235956,0.0989418142618891,750,0.6708943411964161,0.11988302810570742,750
CAFNet-D + ATC+target kNN k=50 beta=0.05,0.6596354399077017,0.11236593105485272,750,0.6999141344207304,0.10271945238089486,750,0.7100136410908544,0.1306111602682264,750
CAFNet-D + ATC+target kNN k=50 beta=0.1,0.6564840287573799,0.11057350655133875,750,0.6966610919961621,0.10204603499026925,750,0.7075094886711915,0.1289802133798449,750
CAFNet-D + ATC+target kNN k=50 beta=0.2,0.6503901026887601,0.10769822931379053,750,0.6902914732139876,0.10101337256061457,750,0.7014577516907359,0.1261956331948513,750
CAFNet-D + ATC+target kNN k=50 beta=0.3,0.6458206751878792,0.10659083596970897,750,0.6853236404733961,0.10091239566121535,750,0.6958937168140751,0.12517429720764678,750
CAFNet-D + ATC+target kNN k=50 beta=0.5,0.6398970054371507,0.1058264147046102,750,0.6793743962888217,0.10117977467561635,750,0.688331993361272,0.12449168405893168,750
CAFNet-D + ATC+target kNN k=50 beta=0.8,0.6343266917038013,0.10560668662865046,750,0.6737816400186176,0.1014495948865283,750,0.680885046034174,0.12447084363201992,750
CAFNet-D + ATC+target kNN k=50 beta=1.0,0.6319743693361134,0.10576549609917744,750,0.6714563379989661,0.10168781781761524,750,0.6774104035396974,0.12391268187587164,750
CAFNet-D full,0.6617887182183795,0.11395887692940354,750,0.702008762764698,0.10358803089435355,750,0.7095187162715577,0.13258527450397523,750
Evidence-kNN ATC k=10,0.6001214158976138,0.10829268163704955,750,0.6230000655750676,0.09699283016961031,750,0.45254978803811263,0.18427656532961398,750
Evidence-kNN ATC k=20,0.6053622284126429,0.1112723311215108,750,0.6372159250996126,0.10203352923993819,750,0.4992043737937867,0.1899982794303868,750
Evidence-kNN ATC k=5,0.5942405372285645,0.10350128778974992,750,0.602063265064228,0.08996674109982693,750,0.38367708351502394,0.17839565900953586,750
Evidence-kNN ATC k=50,0.6067712842852432,0.11174495085340247,750,0.642400871173082,0.10327153691829344,750,0.5177283967429152,0.1927976069655099,750
Evidence-kNN ATC+target k=10,0.601158184087512,0.10872743294353987,750,0.6275282129723733,0.09812399647115377,750,0.4625473712958962,0.18393674423542086,750
Evidence-kNN ATC+target k=20,0.6058999214327428,0.11150265503877548,750,0.6410811190181406,0.102870945949392,750,0.5100727630154551,0.19016755332036503,750
Evidence-kNN ATC+target k=5,0.5922061829444123,0.10231630176657723,750,0.6035809368228645,0.09049055437689547,750,0.3907142788973184,0.17956849643527453,750
Evidence-kNN ATC+target k=50,0.6067773500545476,0.1119653045145,750,0.645346194229612,0.10391396753987969,750,0.5295193129885802,0.19172855330621988,750
Global popularity,0.6219086103948049,0.09611355838320348,750,0.6831001478547153,0.09596039922428999,750,0.6549511192233484,0.12082305926420565,750
