drug_local_idx,model,group,AP,nDCG@10,P@15,R@15
74,CAFNet,middle,0.5821428571428571,0.801479410942855,0.26666666666666666,1.0
74,CAFNet,frequent,0.448836384959961,0.5214682725103094,0.26666666666666666,0.5
75,CAFNet,rare,0.011904761904761904,0.0,0.0,0.0
75,CAFNet,middle,0.00625,0.0,0.0,0.0
75,CAFNet,frequent,0.650296919686718,0.8263333286520084,0.6666666666666666,0.6666666666666666
76,CAFNet,rare,0.007936507936507936,0.0,0.0,0.0
76,CAFNet,middle,0.3333333333333333,0.5,0.06666666666666667,1.0
76,CAFNet,frequent,0.15058510031420247,0.06625422345438904,0.2,0.3
77,CAFNet,rare,0.015123070504797664,0.0,0.0,0.0
77,CAFNet,middle,0.16727896033060047,0.15840915256850252,0.2,0.23076923076923078
77,CAFNet,frequent,0.12524791426387866,0.08514311764162101,0.13333333333333333,0.11764705882352941
78,CAFNet,rare,0.025061243040747857,0.0,0.0,0.0
78,CAFNet,middle,0.2253654456498256,0.5357086937004183,0.3333333333333333,0.15151515151515152
78,CAFNet,frequent,0.734037541371804,0.9305687780632229,0.9333333333333333,0.15730337078651685
79,CAFNet,rare,0.005637418350138472,0.0,0.0,0.0
79,CAFNet,middle,0.012268433321064899,0.0,0.0,0.0
79,CAFNet,frequent,0.4318070923450268,0.6311443278613472,0.4666666666666667,0.4666666666666667
80,CAFNet,rare,0.09498731249203282,0.17318663334822615,0.13333333333333333,0.06896551724137931
80,CAFNet,middle,0.2537336624812567,0.29345568839744024,0.3333333333333333,0.09433962264150944
80,CAFNet,frequent,0.7272422733338773,0.9305687780632229,0.9333333333333333,0.11864406779661017
81,CAFNet,rare,,,,
81,CAFNet,middle,,,,
81,CAFNet,frequent,0.40692307692307694,0.5050778624218062,0.3333333333333333,1.0
82,CAFNet,rare,0.021739130434782608,0.0,0.0,0.0
82,CAFNet,middle,0.03317736081295047,0.0,0.0,0.0
82,CAFNet,frequent,0.32890612429687727,0.2816575879096919,0.26666666666666666,0.16
83,CAFNet,rare,0.0033783783783783786,0.0,0.0,0.0
83,CAFNet,middle,0.5775438596491228,0.6843515475204855,0.2,0.6
83,CAFNet,frequent,0.2903527169136846,0.2561736782935595,0.26666666666666666,0.5714285714285714
84,CAFNet,rare,,,,
84,CAFNet,middle,0.012460817870653937,0.0,0.0,0.0
84,CAFNet,frequent,0.3406275223794319,0.6083169141195839,0.4,0.3157894736842105
85,CAFNet,rare,0.01300769480476408,0.0,0.0,0.0
85,CAFNet,middle,0.12055366813375373,0.13886244387355456,0.06666666666666667,0.08333333333333333
85,CAFNet,frequent,0.218025819542417,0.26180807422707547,0.26666666666666666,0.125
86,CAFNet,rare,0.0029498525073746312,0.0,0.0,0.0
86,CAFNet,middle,,,,
86,CAFNet,frequent,0.5353936594677491,0.5271064966405457,0.6,0.36
87,CAFNet,rare,0.01861779998065133,0.0,0.0,0.0
87,CAFNet,middle,0.024896568932192175,0.0,0.0,0.0
87,CAFNet,frequent,0.5542523700840939,0.6020521034564039,0.6,0.225
88,CAFNet,rare,0.19389068310824037,0.3191471544989227,0.13333333333333333,0.5
88,CAFNet,middle,0.14460584895030984,0.09109240322345807,0.13333333333333333,0.3333333333333333
88,CAFNet,frequent,0.13311869561869563,0.1865528363129254,0.13333333333333333,0.3333333333333333
89,CAFNet,rare,,,,
89,CAFNet,middle,,,,
89,CAFNet,frequent,0.4346115585542277,0.46582309483828666,0.4,0.5
90,CAFNet,rare,0.12755754475703324,0.2640681225725909,0.06666666666666667,0.5
90,CAFNet,middle,0.17763157894736842,0.2640681225725909,0.06666666666666667,0.5
90,CAFNet,frequent,0.7419606665134546,0.9148568823583791,0.9333333333333333,0.3888888888888889
91,CAFNet,rare,0.014990769755113154,0.0,0.0,0.0
91,CAFNet,middle,0.03107039914873216,0.0,0.0,0.0
91,CAFNet,frequent,0.6136185356268298,0.9337457765456111,0.8,0.3157894736842105
92,CAFNet,rare,,,,
92,CAFNet,middle,0.0686555417358472,0.06362078819895173,0.06666666666666667,0.05555555555555555
