model,AP_mean,AP_std,AP_n,nDCG@10_mean,nDCG@10_std,nDCG@10_n,P@15_mean,P@15_std,P@15_n,R@15_mean,R@15_std,R@15_n
CAFNet-D + ATC+target kNN k=5 beta=0.2,0.3757564841245274,0.18114796719155069,750,0.5728309959714256,0.2949447683871598,750,0.4892444444444444,0.27345583962875647,750,0.25274261026418804,0.17331444042647617,750
CAFNet-D + ATC+target kNN k=5 beta=0.3,0.36408683556244475,0.17933093275249412,750,0.556188551007178,0.29479823475596617,750,0.47422222222222227,0.2690300992151925,750,0.24340968501030374,0.16830549407970574,750
CAFNet-D + ATC+target kNN k=5 beta=0.5,0.3483325691545587,0.17620264892791634,750,0.5358481057196199,0.290524332646192,750,0.4544000000000001,0.26450624637007725,750,0.23180495487279856,0.16409443870113852,750
CAFNet-D + ATC+target kNN k=5 beta=0.8,0.33592365760743187,0.17442173668055616,750,0.5187733843723218,0.2873115227350564,750,0.43991111111111114,0.26294915068754754,750,0.22250577403510935,0.1608607075574693,750
CAFNet-D + ATC+target kNN k=5 beta=1.0,0.3307559409950143,0.17349063368556641,750,0.5123486346547869,0.28516614228362774,750,0.43608888888888897,0.2616372476344878,750,0.22092624132327257,0.16065958007360678,750
CAFNet-D + ATC+target kNN k=50 beta=0.05,0.405535311235778,0.18621285093526452,750,0.6199088322787549,0.2923271166242388,750,0.5216000000000001,0.28238886013463993,750,0.27136267684850174,0.18091038255476305,750
CAFNet-D + ATC+target kNN k=50 beta=0.1,0.40152390374352454,0.18537851129921684,750,0.6126066126746156,0.2930324036585839,750,0.5151111111111112,0.2824119594835151,750,0.267606057186874,0.1808758193812077,750
CAFNet-D + ATC+target kNN k=50 beta=0.2,0.3922440941714937,0.18355737617112933,750,0.5989088094851494,0.2913982435531785,750,0.504,0.2801529664603353,750,0.2607510865055709,0.17771820578356093,750
CAFNet-D + ATC+target kNN k=50 beta=0.3,0.3844491219711967,0.18280579789468585,750,0.5888947226483173,0.2902295056316701,750,0.4955555555555555,0.27680083359432744,750,0.25605261773888593,0.1758620268774634,750
CAFNet-D + ATC+target kNN k=50 beta=0.5,0.37390892237797113,0.18123903671476185,750,0.5749227362495215,0.2887893432992293,750,0.4830222222222223,0.27389901699829833,750,0.24867143396858485,0.17249685658105995,750
CAFNet-D + ATC+target kNN k=50 beta=0.8,0.3641382970940845,0.179926413728873,750,0.5612692674351514,0.2879891111790808,750,0.47333333333333333,0.27140319527846013,750,0.2429832334355189,0.171952749281559,750
CAFNet-D + ATC+target kNN k=50 beta=1.0,0.35957039621182746,0.179237862357435,750,0.5557354459263942,0.28826746718925556,750,0.46871111111111113,0.2700529836058257,750,0.24034889674046417,0.16967654418083764,750
CAFNet-D full,0.40496133485797087,0.1859032773930509,750,0.6231585196670388,0.29158201570379955,750,0.5267555555555556,0.28600028804687194,750,0.2740832362595689,0.18331092622741774,750
Evidence-kNN ATC k=10,0.24479344915873677,0.14930273790135218,750,0.47453044568918806,0.28555006344194805,750,0.4085333333333333,0.258321950163379,750,0.2053001917450747,0.15870486680600446,750
Evidence-kNN ATC k=20,0.27572434100658755,0.16092648951401015,750,0.5015408886777277,0.29132918217660914,750,0.4254222222222222,0.26551753592744576,750,0.2155222273621764,0.16595355831787134,750
Evidence-kNN ATC k=5,0.20136219997176127,0.13235284701644848,750,0.43264441321054375,0.2794400858538276,750,0.3712,0.24834753680226299,750,0.18158832240431722,0.13966235041074487,750
Evidence-kNN ATC k=50,0.28862309913557777,0.16538670780370776,750,0.5109878875179564,0.29128321372871757,750,0.4337777777777778,0.2668164540008722,750,0.22052143920576472,0.16672096004051204,750
Evidence-kNN ATC+target k=10,0.25201345909931294,0.151480199682563,750,0.4719010912239208,0.2891186149886289,750,0.4074666666666667,0.2596837395046544,750,0.2048702524943413,0.16112822635348686,750
