drug_local_idx,model,matched_AUROC,matched_AUPR,pos_gt_ctrl_rate,pos_minus_ctrl_score
50,CAFNet-D + ATC+target,0.7857988165680474,0.8374269882421093,0.8615384615384616,1.2196951135993004
50,Global popularity,0.6923076923076923,0.7781174489651701,0.7076923076923077,0.17720797720797718
51,CAFNet,0.6694101508916324,0.6805461039813167,0.6666666666666666,0.42031098736657035
51,CAFNet-D full,0.7193415637860082,0.761985876846123,0.7925925925925926,0.5740807637020394
51,CAFNet-D + ATC,0.6910836762688615,0.7311235476672744,0.725925925925926,0.5639966803016486
51,CAFNet-D + ATC+target,0.6748971193415638,0.7196523389434264,0.7037037037037037,0.6348694575881516
51,Global popularity,0.676406035665295,0.7231271124958192,0.7333333333333333,0.1150946502057613
52,CAFNet,0.5295525494276795,0.5524424016382099,0.5548387096774193,0.16573328955038902
52,CAFNet-D full,0.5335067637877211,0.5279717697978261,0.4967741935483871,0.16873818717055744
52,CAFNet-D + ATC,0.5372528616024974,0.5463129370802415,0.567741935483871,0.09509994705177603
52,CAFNet-D + ATC+target,0.5477627471383975,0.5546808615230019,0.5580645161290323,0.14225918155524042
52,Global popularity,0.5204994797086369,0.5373526455276972,0.4838709677419355,0.011005973715651134
53,CAFNet,0.5308641975308642,0.5650091678476407,0.5555555555555556,0.1277788033088048
53,CAFNet-D full,0.6790123456790124,0.719396429678109,0.6888888888888889,0.2959922879934311
53,CAFNet-D + ATC,0.6987654320987654,0.7931183319751387,0.7333333333333333,0.6745993540104892
53,CAFNet-D + ATC+target,0.7037037037037036,0.79919722063771,0.7111111111111111,0.6672063038167027
53,Global popularity,0.7160493827160495,0.7876760955930087,0.7555555555555555,0.17708641975308642
54,CAFNet,0.6821428571428572,0.7199704017175508,0.8142857142857143,0.5624045465673719
54,CAFNet-D full,0.5823979591836734,0.6593904960243322,0.6571428571428571,0.33450447340895023
54,CAFNet-D + ATC,0.6321428571428571,0.6904266223640138,0.7714285714285715,0.6209352311013
54,CAFNet-D + ATC+target,0.602295918367347,0.6657384766625047,0.7,0.45315616418208393
54,Global popularity,0.5822704081632653,0.6597695371516844,0.5857142857142857,0.095015873015873
55,CAFNet,0.572528616024974,0.6822829536174052,0.5806451612903226,0.4908274598179325
55,CAFNet-D full,0.5687825182101978,0.6932376574754684,0.6387096774193548,0.7305876530947224
55,CAFNet-D + ATC,0.5602497398543185,0.6584580154643941,0.6387096774193548,0.3436828921939577
