drug_idx,model,n_pairs,matched_AUROC,matched_AUPR,pos_minus_ctrl_score,pos_gt_ctrl_rate
615,HSTrans100,25,0.512,0.5806317691486653,0.03594990998506546,0.44
616,CAFNet-D,40,0.8250000000000001,0.8129126082251081,0.9154127057641744,0.875
616,CAFNet,40,0.89375,0.9010416666666667,0.8260273933410645,0.9
616,A3Net,40,0.634375,0.6147206010663603,0.6736072421073913,0.575
616,CAFNet-D w/o association residual,40,0.8718750000000001,0.85579872823392,0.8926173062995076,0.825
616,CAFNet-D w/o bias/popularity prior,40,0.934375,0.8987974592415382,0.9220852129161358,0.9
616,Global popularity,40,0.7015625,0.7557065970231954,0.15718518518518518,0.675
616,HSTrans100,40,0.48125,0.542634341071841,-0.13447185344994067,0.45
617,CAFNet-D,50,0.774,0.8682675677833062,0.6315749238431454,0.76
617,CAFNet,50,0.7779999999999999,0.8692125914036026,1.0169583904743194,0.8
617,A3Net,50,0.7699999999999999,0.8678576645206234,0.7319528749585151,0.76
617,CAFNet-D w/o association residual,50,0.762,0.865165031222123,0.540450511276722,0.7
617,CAFNet-D w/o bias/popularity prior,50,0.784,0.8763411709063883,0.3575083606690168,0.78
617,Global popularity,50,0.7969999999999999,0.8781168291993499,0.2995259259259259,0.86
617,HSTrans100,50,0.748,0.8062933250297587,1.23633833989501,0.76
618,CAFNet-D,220,0.6297520661157026,0.7078868404872891,0.59568716482344,0.65
618,CAFNet,220,0.6044421487603305,0.6732013685187765,0.4316181914542209,0.6363636363636364
618,A3Net,220,0.6496900826446281,0.6812441716757875,0.684062828800895,0.6363636363636364
618,CAFNet-D w/o association residual,220,0.6793388429752066,0.749306056268922,0.6691502886570313,0.7
618,CAFNet-D w/o bias/popularity prior,220,0.7003099173553718,0.7564582434255371,0.5873946193520996,0.7545454545454545
618,Global popularity,220,0.693646694214876,0.7723232792838435,0.13108417508417508,0.7727272727272727
618,HSTrans100,220,0.7234504132231405,0.7125639060725133,0.974136537516659,0.7681818181818182
619,CAFNet-D,105,0.7600907029478458,0.7619484806211891,0.7679923064651943,0.819047619047619
619,CAFNet,105,0.6970521541950113,0.7219397816338292,0.754035109991119,0.7619047619047619
619,A3Net,105,0.6113378684807256,0.6493843452971626,0.20182722296033587,0.6571428571428571
619,CAFNet-D w/o association residual,105,0.745124716553288,0.7566420851131452,0.8602680002294836,0.8380952380952381
619,CAFNet-D w/o bias/popularity prior,105,0.7043083900226758,0.7309444748729366,0.3871013677191167,0.7333333333333333
619,Global popularity,105,0.6353741496598639,0.6977703017727281,0.09937213403880071,0.6857142857142857
619,HSTrans100,105,0.6394557823129251,0.6401973524107718,0.7483576862584977,0.6666666666666666
620,CAFNet-D,110,0.7140495867768595,0.6740648919373222,1.1128582454879175,0.7545454545454545
620,CAFNet,110,0.7446280991735537,0.7035966236359625,0.8628391427411275,0.7818181818181819
620,A3Net,110,0.6768595041322314,0.6285603622454685,0.6203576840121637,0.7
620,CAFNet-D w/o association residual,110,0.75,0.6945485826189467,1.3413003178313374,0.7909090909090909
620,CAFNet-D w/o bias/popularity prior,110,0.7285123966942149,0.6611250051220506,1.279980255663395,0.7454545454545455
620,Global popularity,110,0.5369834710743802,0.5703083600936483,0.03186531986531987,0.5727272727272728
620,HSTrans100,110,0.5384297520661159,0.5514067162366607,0.3827290477400476,0.509090909090909
621,CAFNet-D,35,0.746938775510204,0.8238224637681159,0.33437141158751077,0.7142857142857143
621,CAFNet,35,0.7510204081632652,0.7538818312926298,0.7510891020298006,0.7142857142857143
621,A3Net,35,0.8285714285714284,0.8883264768357936,1.0521797793252128,0.8857142857142857
621,CAFNet-D w/o association residual,35,0.8040816326530611,0.8657202011239278,0.7574246091502054,0.7428571428571429
621,CAFNet-D w/o bias/popularity prior,35,0.8,0.8568175096125407,0.7468703031539917,0.8
621,Global popularity,35,0.836734693877551,0.9057971014492754,0.2995132275132275,0.8285714285714286
621,HSTrans100,35,0.8244897959183674,0.8666631607808077,0.7635701111384801,0.8857142857142857
622,CAFNet-D,35,0.5428571428571429,0.623987123987124,0.4702785257782254,0.6571428571428571
622,CAFNet,35,0.6489795918367347,0.638874504021769,0.7719726626362119,0.6857142857142857
622,A3Net,35,0.5714285714285714,0.5531010689559411,0.27588905202490943,0.6
622,CAFNet-D w/o association residual,35,0.4979591836734695,0.5145030845351771,0.0930280693939754,0.5714285714285714
622,CAFNet-D w/o bias/popularity prior,35,0.6122448979591837,0.6196081639793607,0.6426685984645572,0.7142857142857143
622,Global popularity,35,0.5530612244897959,0.6295500195094514,0.04808465608465606,0.6571428571428571
622,HSTrans100,35,0.3795918367346939,0.4612323428557813,-0.41605151380811417,0.3142857142857143
623,CAFNet-D,430,0.5666576527852893,0.6293196208518462,0.33090006137743244,0.641860465116279
623,CAFNet,430,0.5815035154137371,0.6311221518621506,0.33742712108894835,0.6162790697674418
623,A3Net,430,0.5407247160627366,0.6004266920706365,0.11442642821822055,0.5720930232558139
