drug_idx,fold,group,model,AP,nDCG@10,P@15,R@15
11,4,mid,A3Net,0.00847457627118644,0.0,0.0,0.0
11,4,mid,CAFNet-D w/o association residual,0.018867924528301886,0.0,0.0,0.0
11,4,mid,CAFNet-D w/o bias/popularity prior,0.015384615384615385,0.0,0.0,0.0
11,4,mid,Global popularity,0.013157894736842105,0.0,0.0,0.0
11,4,mid,HSTrans100,0.005780346820809248,0.0,0.0,0.0
11,4,frequent,CAFNet-D,0.332525987728536,0.4256628105513782,0.3333333333333333,0.3125
11,4,frequent,CAFNet,0.26523098855404675,0.29409459795966886,0.4,0.375
11,4,frequent,A3Net,0.24306877434483104,0.29849003527675555,0.13333333333333333,0.125
11,4,frequent,CAFNet-D w/o association residual,0.3438290824027268,0.4608129830623534,0.4666666666666667,0.4375
11,4,frequent,CAFNet-D w/o bias/popularity prior,0.34028679210836754,0.37576775259321094,0.3333333333333333,0.3125
11,4,frequent,Global popularity,0.3347936942268724,0.36837563413888724,0.4,0.375
11,4,frequent,HSTrans100,0.12920908164375228,0.06362078819895173,0.06666666666666667,0.0625
12,3,rare,CAFNet-D,0.5352575944170772,0.6241641366796028,0.4666666666666667,0.875
12,3,rare,CAFNet,0.2171043556931369,0.2505575836256369,0.2,0.375
12,3,rare,A3Net,0.14572448744055952,0.2335744134171792,0.26666666666666666,0.5
12,3,rare,CAFNet-D w/o association residual,0.563320707070707,0.6435089981563973,0.4,0.75
12,3,rare,CAFNet-D w/o bias/popularity prior,0.23495660019493692,0.17441424290825341,0.26666666666666666,0.5
12,3,rare,Global popularity,0.020077118199100595,0.0,0.0,0.0
12,3,rare,HSTrans100,0.0675930914438789,0.09785159463516042,0.13333333333333333,0.25
12,3,mid,CAFNet-D,,,,
12,3,mid,CAFNet,,,,
12,3,mid,A3Net,,,,
12,3,mid,CAFNet-D w/o association residual,,,,
12,3,mid,CAFNet-D w/o bias/popularity prior,,,,
12,3,mid,Global popularity,,,,
12,3,mid,HSTrans100,,,,
12,3,frequent,CAFNet-D,0.033850129198966405,0.0,0.0,0.0
12,3,frequent,CAFNet,0.029449152542372882,0.0,0.0,0.0
12,3,frequent,A3Net,0.04131274131274131,0.0,0.0,0.0
12,3,frequent,CAFNet-D w/o association residual,0.028867924528301885,0.0,0.0,0.0
12,3,frequent,CAFNet-D w/o bias/popularity prior,0.046296296296296294,0.0,0.0,0.0
12,3,frequent,Global popularity,0.026013513513513515,0.0,0.0,0.0
12,3,frequent,HSTrans100,0.013435374149659864,0.0,0.0,0.0
13,8,rare,CAFNet-D,,,,
13,8,rare,CAFNet,,,,
13,8,rare,A3Net,,,,
13,8,rare,CAFNet-D w/o association residual,,,,
13,8,rare,CAFNet-D w/o bias/popularity prior,,,,
13,8,rare,Global popularity,,,,
13,8,rare,HSTrans100,,,,
13,8,mid,CAFNet-D,0.09090909090909091,0.0,0.06666666666666667,1.0
13,8,mid,CAFNet,0.0625,0.0,0.0,0.0
13,8,mid,A3Net,0.06666666666666667,0.0,0.06666666666666667,1.0
13,8,mid,CAFNet-D w/o association residual,0.06666666666666667,0.0,0.06666666666666667,1.0
13,8,mid,CAFNet-D w/o bias/popularity prior,0.05263157894736842,0.0,0.0,0.0
13,8,mid,Global popularity,0.003436426116838488,0.0,0.0,0.0
13,8,mid,HSTrans100,0.0048543689320388345,0.0,0.0,0.0
13,8,frequent,CAFNet-D,0.568108564999111,0.611019150498302,0.5333333333333333,0.5
13,8,frequent,CAFNet,0.43726051690219553,0.5231737964779629,0.5333333333333333,0.5
13,8,frequent,A3Net,0.398827883234461,0.39375843764607205,0.26666666666666666,0.25
13,8,frequent,CAFNet-D w/o association residual,0.512963812999021,0.6051399156371956,0.5333333333333333,0.5
13,8,frequent,CAFNet-D w/o bias/popularity prior,0.6634899426284939,0.7600791051976192,0.6666666666666666,0.625
13,8,frequent,Global popularity,0.4534454017244892,0.5473983622993503,0.4,0.375
13,8,frequent,HSTrans100,0.4173836092892211,0.5965377185773229,0.3333333333333333,0.3125
14,5,rare,CAFNet-D,0.18704047171123286,0.3026024134988135,0.06666666666666667,0.16666666666666666
14,5,rare,CAFNet,0.01617750252360975,0.0,0.0,0.0
14,5,rare,A3Net,0.03489097474702121,0.0,0.06666666666666667,0.16666666666666666
14,5,rare,CAFNet-D w/o association residual,0.0622382028686057,0.13032376591037065,0.06666666666666667,0.16666666666666666
14,5,rare,CAFNet-D w/o bias/popularity prior,0.03207881719646646,0.0,0.06666666666666667,0.16666666666666666
14,5,rare,Global popularity,0.01786068312990117,0.0,0.0,0.0
14,5,rare,HSTrans100,0.014728650460607484,0.0,0.0,0.0
14,5,mid,CAFNet-D,0.04304613816726645,0.0,0.0,0.0
14,5,mid,CAFNet,0.03701735891489212,0.0,0.0,0.0
14,5,mid,A3Net,0.027984643094132143,0.0,0.0,0.0
14,5,mid,CAFNet-D w/o association residual,0.07020358868184956,0.0,0.0,0.0
14,5,mid,CAFNet-D w/o bias/popularity prior,0.06688803465926108,0.0,0.0,0.0
14,5,mid,Global popularity,0.024077219139280494,0.0,0.0,0.0
14,5,mid,HSTrans100,0.02069209741070801,0.0,0.0,0.0
14,5,frequent,CAFNet-D,0.49327667847577145,0.6547216238913565,0.4666666666666667,0.35
14,5,frequent,CAFNet,0.5373950562654173,0.7542686714597937,0.6,0.45
14,5,frequent,A3Net,0.45996336720866804,0.727329844310522,0.4666666666666667,0.35
14,5,frequent,CAFNet-D w/o association residual,0.5299311298044758,0.7471589728148226,0.4666666666666667,0.35
14,5,frequent,CAFNet-D w/o bias/popularity prior,0.4046656843441746,0.5430029249822635,0.6,0.45
14,5,frequent,Global popularity,0.3526672077642741,0.5428183923453894,0.4666666666666667,0.35
14,5,frequent,HSTrans100,0.20473476506914434,0.2394408568026152,0.3333333333333333,0.25
15,3,rare,CAFNet-D,0.1,0.2890648263178879,0.06666666666666667,1.0
15,3,rare,CAFNet,0.5,0.6309297535714575,0.06666666666666667,1.0
15,3,rare,A3Net,1.0,1.0,0.06666666666666667,1.0
15,3,rare,CAFNet-D w/o association residual,0.023255813953488372,0.0,0.0,0.0
15,3,rare,CAFNet-D w/o bias/popularity prior,0.029411764705882353,0.0,0.0,0.0
15,3,rare,Global popularity,0.006172839506172839,0.0,0.0,0.0
15,3,rare,HSTrans100,0.0070921985815602835,0.0,0.0,0.0
15,3,mid,CAFNet-D,0.12000915750915751,0.11284514134893527,0.13333333333333333,0.5
15,3,mid,CAFNet,0.16862101313320826,0.29127873064148246,0.13333333333333333,0.5
15,3,mid,A3Net,0.06847289830652027,0.123151194370365,0.06666666666666667,0.25
15,3,mid,CAFNet-D w/o association residual,0.09545857675220908,0.11284514134893527,0.13333333333333333,0.5
15,3,mid,CAFNet-D w/o bias/popularity prior,0.01308487759697698,0.0,0.0,0.0
15,3,mid,Global popularity,0.021933001042590085,0.0,0.0,0.0
15,3,mid,HSTrans100,0.022697688603507852,0.0,0.0,0.0
15,3,frequent,CAFNet-D,0.2808208149138774,0.36933625363427175,0.26666666666666666,0.23529411764705882
15,3,frequent,CAFNet,0.19044675401142336,0.2583297509898471,0.26666666666666666,0.23529411764705882
15,3,frequent,A3Net,0.2005480967383338,0.1356854453911663,0.13333333333333333,0.11764705882352941
