MAP,AUROC,AUPR,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,nonhot100_AP,rare_AP,middle_AP,fold,model
0.2435853469280969,0.9183382396064114,0.1203806258100373,0.30705999298554504,0.33798449612403103,0.12909560723514213,0.41400600710131186,0.5304517427244081,2.243375871321877,2.0501641904957344,0.13184195893253897,0.12601791006116053,0.17971860981606727,6,CAFNet-DG
0.17760349615648796,0.9055664857700313,0.08735139266552515,0.2256504424376982,0.19040247678018576,0.10629514963880289,0.38174823818074327,0.5000144880934768,1.2788067558063148,0.9272953871338193,0.11460496976140942,0.11664284599477838,0.13683742479933927,7,CAFNet
0.2315833846748788,0.9013423324437582,0.10871018677497996,0.2988982325488175,0.34055727554179566,0.11867905056759545,0.3764490224825659,0.5018955787355552,3.070576140701342,2.8840153581370527,0.08553653964883759,0.0907886879407777,0.09593803796004097,7,CAFNet-D
0.2564492966041046,0.9202572192354685,0.13077420833353254,0.32321413982111175,0.34520123839009287,0.12910216718266251,0.42602633596091977,0.5311178175808208,2.240505065665537,2.0222649795074568,0.13098308937803543,0.12377454949995279,0.1456890299946585,7,CAFNet-DG
0.21139578931095376,0.9077529756937195,0.08957009166804684,0.26410015139592974,0.20123839009287925,0.11424148606811142,0.39235514638228147,0.5169235200279575,1.2148616898485338,0.8809291992533269,0.1213684139048647,0.10860318359960264,0.14830305936872476,8,CAFNet
0.2425354625273365,0.8941916537841508,0.11362858694012018,0.3100562668175125,0.33126934984520123,0.12311661506707947,0.3905215506755406,0.5255051030066107,2.970707950876818,2.799058857302349,0.09228891240518262,0.09380534310738099,0.10121885244354083,8,CAFNet-D
0.25648846069480324,0.9156677421153592,0.12255879030740519,0.3206485841978686,0.34365325077399383,0.12899896800825592,0.418221770534214,0.5505351552425523,2.142521606243209,1.9293754961524467,0.1358568561122489,0.11773151965556704,0.15556245330582677,8,CAFNet-DG
0.19483953348320837,0.9095169008833851,0.09333116730023915,0.2496457576006493,0.1838006230529595,0.11235721703011421,0.4088937554086159,0.502610972092842,1.2416502375694252,0.9092574651347018,0.11864000417704951,0.09316031326676574,0.12693097973998507,9,CAFNet
0.23261661582589424,0.8998764160137545,0.09770793432276505,0.2959137890673206,0.3348909657320872,0.11630321910695743,0.3738504460282911,0.5227451816027433,3.0529103735329266,2.886706651138707,0.08613664371234743,0.0953967966520282,0.09530405135909874,9,CAFNet-D
0.2542331014434537,0.9201871902935683,0.11673502991004403,0.31801718006136015,0.3317757009345794,0.12377985462097611,0.41443545858846204,0.5382673973558927,2.214279032798094,2.005598724881405,0.12828971998528949,0.11079414411494222,0.14171582226254076,9,CAFNet-DG
