MAP,AUROC,AUPR,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,nonhot100_AP,rare_AP,middle_AP,fold,rho
0.24968139586715352,0.9172929030510683,0.12965780579890734,0.3155172010003578,0.32972136222910214,0.12724458204334366,0.4141871110090537,0.5272488792223633,2.441431818929288,2.2367485901330797,0.12803773749916542,0.12220283781599532,0.14281114843387047,7,0.7
0.24682094281165767,0.9131692451371655,0.1253483768801038,0.31307908593868894,0.33591331269349844,0.1259029927760578,0.4070050624543478,0.5210615443639846,2.647437878258834,2.4521049136474744,0.1184714263324204,0.1264724666980922,0.1320261835688978,7,0.8
0.2406640794718735,0.9078477628578617,0.11813689386706268,0.30765298548426767,0.34365325077399383,0.12229102167182662,0.389367125097022,0.5125428747155703,2.85742486628922,2.6678857890981478,0.10080405327373318,0.10892757513475908,0.1162927195090772,7,0.9
0.2315833846748788,0.9013423324437582,0.10871018677497996,0.2988982325488175,0.34055727554179566,0.11867905056759545,0.3764490224825659,0.5018955787355552,3.070576140701342,2.8840153581370527,0.08553653964883759,0.0907886879407777,0.09593803796004097,7,1.0
0.21139578931095376,0.9077529756937195,0.08957009166804684,0.26410015139592974,0.20123839009287925,0.11424148606811142,0.39235514638228147,0.5169235200279575,1.2148616898485338,0.8809291992533269,0.1213684139048647,0.10860318359960264,0.14830305936872476,8,0.0
0.22112783995324975,0.9140798373356724,0.09486211997655616,0.2795650312499976,0.23529411764705882,0.11826625386996903,0.40176098330848176,0.5268229396042224,1.3134603766055954,0.9812261119983214,0.1275761013429282,0.11189986033521554,0.15748406405418935,8,0.1
0.2320358946168132,0.9180584417968097,0.10054225278209586,0.29202361720062886,0.25696594427244585,0.12198142414860681,0.4068673065354404,0.5354769220027037,1.4430473006736695,1.1271161218128591,0.13164671057795022,0.11886314426801375,0.1577503459697645,8,0.2
0.24209038122828258,0.9196631926012816,0.10692722431589764,0.30389286537899723,0.28637770897832815,0.12321981424148606,0.40547841878279106,0.5425762282463971,1.5960925605146925,1.3069496600373278,0.13506481832020512,0.12380423424210295,0.16306596972843915,8,0.3
0.25020163236996334,0.9195676952514913,0.11322625997110403,0.31378106438845454,0.3219814241486068,0.12559339525283797,0.4119559596891851,0.5475452557896098,1.7665093816023687,1.505964275888552,0.1375914283891811,0.12456942814997285,0.16098974498873236,8,0.4
0.2573463552388295,0.918188388585724,0.11922345418908732,0.32317619085394433,0.34829721362229105,0.12765737874097008,0.4119124977694292,0.5501945235069859,1.9497482116915956,1.715137824850175,0.13760895226031358,0.1246494348324643,0.16586072957554018,8,0.5
0.25648846069480324,0.9156677421153592,0.12255879030740519,0.3206485841978686,0.34365325077399383,0.12899896800825592,0.418221770534214,0.5505351552425523,2.142521606243209,1.9293754961524467,0.1358568561122489,0.11773151965556704,0.15556245330582677,8,0.6
0.25446506594892443,0.9120203757269483,0.12343862256311272,0.31896463792963886,0.33591331269349844,0.12827657378740967,0.4150742552127329,0.5482667800532265,2.3424768985673983,2.145783409675706,0.13378232711993043,0.11321916302743479,0.14613524768682018,8,0.7
0.2514811931475556,0.9072326799796627,0.12207201993668725,0.3156645081278991,0.32972136222910214,0.1279669762641899,0.4081495572275426,0.5433781222111452,2.5479237787454894,2.3629995306984934,0.12861562643628663,0.11022799636008163,0.13605726525089049,8,0.8
0.24657222040626023,0.9012905059649519,0.11897851745085178,0.3130873752660567,0.3281733746130031,0.12714138286893703,0.4043022418977715,0.5356942765787459,2.7576351386337574,2.5808074433294235,0.11406173427882972,0.09771003676044997,0.1235509216511069,8,0.9
0.2425354625273365,0.8941916537841508,0.11362858694012018,0.3100562668175125,0.33126934984520123,0.12311661506707947,0.3905215506755406,0.5255051030066107,2.970707950876818,2.799058857302349,0.09228891240518262,0.09380534310738099,0.10121885244354083,8,1.0
0.19483953348320837,0.9095169008833851,0.09333116730023915,0.2496457576006493,0.1838006230529595,0.11235721703011421,0.4088937554086159,0.502610972092842,1.2416502375694252,0.9092574651347018,0.11864000417704951,0.09316031326676574,0.12693097973998507,9,0.0
0.21587058761200545,0.9163045741081991,0.09887203226376791,0.27305075698690867,0.22118380062305296,0.11557632398753895,0.41324105292551316,0.5113805057344221,1.3527290025974883,1.0238289890816386,0.12360096630224125,0.0999659659105246,0.1334642144179569,9,0.1
0.22732252519083906,0.920391264511313,0.1041722491004662,0.2880487094180317,0.24922118380062305,0.11858774662512982,0.4133429054740088,0.5191905139467865,1.4922710591826043,1.1819132488441486,0.12587246129405394,0.10457836562734822,0.14227356460394258,9,0.2
0.23473109424698052,0.9224099769744828,0.1095219342833943,0.2958108879864459,0.27102803738317754,0.12066458982346834,0.4133565247660852,0.5262380760588616,1.6530841768542817,1.3690221438672323,0.12808131823780014,0.10210142986867904,0.14158939908190996,9,0.3
0.24485582426030117,0.9229017484711433,0.11391770140446397,0.3078575057827152,0.30062305295950154,0.12107995846313602,0.4129536667092963,0.5317882424892906,1.829567779784087,1.5748152690872885,0.12882093286198892,0.10541510027731456,0.14591961588036628,9,0.4
0.2510136056982417,0.9221253163887219,0.11644801903093224,0.3141045493769549,0.32398753894080995,0.12357217030114226,0.41492731558281715,0.5358270615633304,2.0176140915806537,1.788501235839482,0.12796770839572422,0.11547578906264554,0.14677000364848716,9,0.5
0.2542331014434537,0.9201871902935683,0.11673502991004403,0.31801718006136015,0.3317757009345794,0.12377985462097611,0.41443545858846204,0.5382673973558927,2.214279032798094,2.005598724881405,0.12828971998528949,0.11079414411494222,0.14171582226254076,9,0.6
0.2517717007218007,0.9170703420836589,0.11512014542367018,0.31490655012906993,0.338006230529595,0.12461059190031153,0.41151464363273377,0.5382207747527933,2.417460173544926,2.2254245534325716,0.12640787657385893,0.11891808129204792,0.13725583635370228,9,0.7
0.24631750138028666,0.9127008373018919,0.11148684931689151,0.3100263897680351,0.3395638629283489,0.12315680166147458,0.4018177692595114,0.5362049651281846,2.6256452089879394,2.4457449867987058,0.11731557989916078,0.11452620961924026,0.12584532003970644,9,0.8
0.2395826009574236,0.9069876397832195,0.10576008994838734,0.3013232103907736,0.3364485981308411,0.12014537902388368,0.3895181119705242,0.5309970775702894,2.8377330451439073,2.6661695634407927,0.10205961024973287,0.10536566312421862,0.1104621292003284,9,0.9
0.23261661582589424,0.8998764160137545,0.09770793432276505,0.2959137890673206,0.3348909657320872,0.11630321910695743,0.3738504460282911,0.5227451816027433,3.0529103735329266,2.886706651138707,0.08613664371234743,0.0953967966520282,0.09530405135909874,9,1.0
