fold,rho,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,rare_AP,middle_AP,frequent_AP,nonhot100_AP
3,0.4,0.9289568365823132,0.11659365992288287,712137,3708,652,0.25370420874589966,0.3166394448282747,0.3266871165644172,0.12903885480572597,0.4341756405597515,0.15575325544491184,0.1902079191689089,0.2876732195750366,0.12954821847580272
3,0.5,0.9286884271832662,0.12408445057971389,712137,3708,652,0.26067387138053044,0.32588106713743836,0.348159509202454,0.12995910020449897,0.4287564963290589,0.15072913115263475,0.18977350241516963,0.2950160917998774,0.13318984107407364
3,0.6,0.9273524142103188,0.12845553591393394,712137,3708,652,0.2638380916603566,0.3272131959337645,0.35736196319018404,0.13210633946830264,0.42596293941704266,0.13662146801714112,0.18878743058270772,0.2995810712074919,0.13392375777189022
3,0.7,0.9250514430426449,0.1293443460725123,712137,3708,652,0.2589092337714166,0.3213809979220712,0.3512269938650307,0.13231083844580774,0.4207651016675244,0.12106073501242333,0.17873336485575447,0.29409170613985075,0.13023915392761548
3,0.8,0.9217920722842621,0.12736648835218475,712137,3708,652,0.2526304435936311,0.31865098193723196,0.3512269938650307,0.1314928425357873,0.4144772974645703,0.11784850875000923,0.16840017726013987,0.28747539703922165,0.12439257482494197
3,0.9,0.917511255243634,0.12259045824312323,712137,3708,652,0.2475190047339928,0.31447038903161273,0.35429447852760737,0.1298568507157464,0.4057475643801056,0.10994076987218317,0.158656601641458,0.28283708919661155,0.1138699705885705
3,1.0,0.9120883204210624,0.11527073378423425,712137,3708,652,0.24025357175517892,0.30769185801943194,0.3496932515337423,0.12515337423312883,0.38810142322638813,0.09983059456272646,0.1324204531188016,0.27474841000359507,0.08710727912805045
4,0.0,0.9118464280955145,0.08473361489336306,712137,3708,649,0.2000923578850939,0.2474592642191883,0.2049306625577812,0.11145351823317924,0.400366531500624,0.1061625429322052,0.15998179598785633,0.23147033555165797,0.117315733513489
4,0.1,0.9187850978582396,0.0911169555275442,712137,3708,649,0.21843054410493104,0.268762237731745,0.23882896764252695,0.11638418079096045,0.4122520649862553,0.11231210025980819,0.1723530390517024,0.2503779565666902,0.12093136656411783
4,0.2,0.923005617883555,0.09823189416738615,712137,3708,649,0.22641591643048292,0.28539951797387,0.26810477657935283,0.12141756548536209,0.4196134629932925,0.11471841927983564,0.1694738204508094,0.25908918612613574,0.12321972854188065
4,0.3,0.9250679513784396,0.10651278160356623,712137,3708,649,0.2323448334414398,0.29636158852016875,0.28197226502311246,0.12213662044170516,0.41882465131369007,0.1146235058315372,0.1670207297363228,0.2662505303359533,0.1214075344910616
4,0.4,0.925543245647586,0.11508109241562722,712137,3708,649,0.23957671843747463,0.3035626633255333,0.3035439137134052,0.12552645095017978,0.4203192231051621,0.1138907102965153,0.1657612556853134,0.27475441024287534,0.1220879791848453
4,0.5,0.9247338611490451,0.12126533274688699,712137,3708,649,0.2440331651089844,0.30745320358373224,0.30970724191063176,0.12717000513610682,0.42187924498638363,0.11439457512485508,0.16420406796065193,0.28072116522231866,0.12216722810961132
4,0.6,0.9228110051043356,0.12370008233277272,712137,3708,649,0.24154009218490968,0.3037496124506112,0.31278890600924497,0.12727272727272726,0.4179938073018861,0.1028920125414776,0.1651249187623624,0.2784700611727298,0.12150824689201947
4,0.7,0.9198190952723,0.12249833239542654,712137,3708,649,0.2383619669639281,0.29890105273287654,0.31124807395993837,0.12727272727272726,0.41232274358852145,0.0951637112582463,0.16200904744381622,0.27486029895197117,0.11959658328898752
4,0.8,0.9157373566175566,0.11846583794522492,712137,3708,649,0.23200578563603727,0.2935451965089897,0.3020030816640986,0.12614278376990243,0.4005728538427711,0.08513665994963962,0.15294468749247783,0.2674466027067678,0.11351956893823874
4,0.9,0.9105257136465055,0.11224606398040443,712137,3708,649,0.22952007249590345,0.29214940675954254,0.3081664098613251,0.1253210066769389,0.39189601480868697,0.08195909471661736,0.1280960283366041,0.2648617384935542,0.09995890629269412
4,1.0,0.9041812809692897,0.10378199104937408,712137,3708,649,0.2244602767885054,0.2864379596026421,0.30970724191063176,0.12141756548536208,0.37816524208596713,0.07411720972666722,0.09409104514839223,0.2592128414978633,0.08124622842075613
5,0.0,0.9180715743895957,0.09299707594683548,712137,3708,650,0.23035572307374186,0.287510868997617,0.24307692307692308,0.11948717948717948,0.4183804317314471,0.11374796436112516,0.15769316079957846,0.2668380882622212,0.14457115422621147
5,0.1,0.9259802856125353,0.0983604483855281,712137,3708,650,0.23997114007590972,0.29724957349739006,0.2676923076923077,0.12369230769230768,0.42389055675314574,0.1229759885946268,0.16144980116472357,0.2772614701893809,0.15083371808442614
5,0.2,0.9300500199871731,0.10379215839256654,712137,3708,650,0.24970541320308057,0.3107183293456174,0.2923076923076923,0.12687179487179487,0.4303210670955001,0.13159922810830604,0.1678174623353983,0.2862182661202352,0.15600690474233092
5,0.3,0.9315099661552202,0.10923627482769567,712137,3708,650,0.25692132780784555,0.31897538803844094,0.3153846153846154,0.12994871794871796,0.43813665623508663,0.1349578558141653,0.16801486019100012,0.29318158329039484,0.15839528029623434
5,0.4,0.9312867838479315,0.11427639075388966,712137,3708,650,0.2609540477753846,0.32609007892607544,0.3292307692307692,0.13241025641025642,0.44735469978232023,0.12930496085728188,0.16938321458549474,0.29751158831478663,0.1598198059512441
