scenario,model,fold,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,QWK,Within1,ordinal_pairs
cold,Global popularity,2,0.8192281471464562,0.338912277007915,74550,4941,75,0.4516102607753022,0.6898875667431508,0.8,0.6097777777777779,0.2368635006932397,0.4726905594658592,0.8040293470703744,0.6109454477154227,0.3875370333863353,0.9334142886055454,4941.0
cold,Global popularity,3,0.8260192358004057,0.2725995571369649,74550,3098,75,0.3935859772272089,0.5996937817393745,0.6933333333333334,0.4764444444444444,0.2857577387951428,0.538674946222446,0.788019701658393,0.5764108492991015,0.4607521234461413,0.9396384764364106,3098.0
cold,Global popularity,4,0.8559491254882735,0.3312554148115786,74550,2835,75,0.4199885488466091,0.6630630408973558,0.8266666666666667,0.536888888888889,0.2876939617958647,0.3441414106442534,0.9071474494586238,0.6652553221536062,0.2961806241358878,0.907936507936508,2835.0
cold,Global popularity,5,0.7943541877315359,0.2843756422594893,74550,4453,75,0.4001272082417766,0.618383959553748,0.72,0.5368888888888889,0.2489745481874885,0.5281908869242166,0.8217385118619444,0.60589366868831,0.4328500132391585,0.9308331461935774,4453.0
cold,Global popularity,6,0.8204087317665864,0.2991159587077381,74550,4083,75,0.4224994893465234,0.6532400025944459,0.7333333333333333,0.5582222222222223,0.2778755735093177,0.5394976750771227,0.7990354088393,0.6069589175344127,0.4356794723189489,0.9385255939260349,4083.0
cold,Global popularity,7,0.8036409641541019,0.2684995884737525,74550,4023,75,0.3809439915778675,0.5776614426114935,0.6533333333333333,0.4924444444444445,0.2490330447504326,0.5601059231817083,0.766631993079955,0.5791028696537136,0.4615927873166936,0.9438230176485212,4023.0
cold,Global popularity,8,0.8337198472850458,0.2800774263642107,74550,3088,75,0.3853516550038852,0.596351277410842,0.72,0.4879999999999999,0.2656682858138466,0.4780626845512581,0.8898606921033678,0.6606137672236546,0.4219595717655597,0.9125647668393784,3088.0
cold,Global popularity,9,0.8139273102397793,0.2952538781621668,74550,4204,75,0.4455451611441052,0.657585199405635,0.7866666666666666,0.5351111111111111,0.3029977078378299,0.5162674762189026,0.7536735522406287,0.5769567582348661,0.4428631226454583,0.9533777354900096,4204.0
cold,HMMF-regenerated,0,0.8547035540673943,0.25689087857163995,74550,2889,75,0.353784567372138,0.509911238301812,0.6533333333333333,0.4479999999999999,0.26126665074968347,0.4574171993094727,0.9129295656855193,0.5840968443225849,0.28014503894174136,0.9401176877812392,2889.0
cold,HMMF-regenerated,1,0.8713464485019583,0.262957284617904,74550,3457,75,0.3721263162007569,0.5543486567529392,0.5866666666666667,0.48,0.23251420795461494,0.5488584858694312,0.8692702916331193,0.6328909902135381,0.3587155198714872,0.9109054093144345,3457.0
