scenario,model,metric,mean,std,n
warm,DSGAT,AUROC,0.8668603189351154,0.0030399172727438497,10
warm,DSGAT,AUPR,0.05924891366822419,0.004990048444811943,10
warm,DSGAT,nDCG@10,0.23975634154655512,0.021327280757807907,10
warm,DSGAT,P@1,0.23833021647687574,0.07332587430039177,10
warm,DSGAT,P@15,0.10180782183084518,0.0036444317124779487,10
warm,DSGAT,R@15,0.3340355787474391,0.014430056693966619,10
warm,DSGAT,Spearman,0.43707884460690893,0.01086707045590153,10
warm,DSGAT,RMSE,1.2674075016559365,0.09104275539288477,10
warm,DSGAT,MAE,0.9854433032022156,0.09202159911186297,10
warm,DSGAT,QWK,0.3064221202799959,0.03679641590677698,10
warm,DSGAT,Within1,0.7769597923343229,0.03415092391030662,10
warm,HSTrans,mAP,0.18588788616613278,0.008822525454752195,10
warm,HSTrans,AUROC,0.8931218578675832,0.002885714996023306,10
warm,HSTrans,AUPR,0.07444593002659532,0.008365638932053773,10
warm,HSTrans,nDCG@10,0.2444211074758027,0.010995939212832226,10
warm,HSTrans,P@1,0.24562624245898784,0.024702139769877115,10
warm,HSTrans,P@15,0.10254066608741534,0.0023465507306727335,10
warm,HSTrans,R@15,0.3300419347449396,0.010462441069179774,10
warm,HSTrans,Spearman,0.3837588404734705,0.028722607271247386,10
warm,HSTrans,RMSE,1.3373962836639608,0.17663111245913735,10
warm,HSTrans,MAE,0.9860717625410743,0.1560537392832252,10
warm,HSTrans,QWK,0.2895154890011421,0.042283245655232594,10
warm,HSTrans,Within1,0.7870353309868583,0.059588563428599216,10
warm,RF,mAP,0.0474771909406303,0.0026241564757891445,10
warm,RF,AUROC,0.8364492436122676,0.0020987744503580615,10
warm,RF,AUPR,0.022361163111916563,0.00043554971146995026,10
warm,RF,nDCG@10,0.05699965767860253,0.004942151271083154,10
warm,RF,P@1,0.02503808773952813,0.006977877645787052,10
warm,RF,P@15,0.02679710028815137,0.0016257958393430655,10
warm,RF,R@15,0.10402842579028977,0.010150919317485421,10
warm,RF,Spearman,0.3186042563481239,0.017535643313759397,10
warm,RF,RMSE,1.5333297609807381,0.01982245323068312,10
warm,RF,MAE,1.1942870434616075,0.019938826520868053,10
warm,RF,QWK,0.20864675724545703,0.014410727801298776,10
warm,RF,Within1,0.6929454168930463,0.010083479075417755,10
warm,XGBoost,mAP,0.05903371935529829,0.0033836960696379645,10
warm,XGBoost,AUROC,0.8196537907782806,0.003306290006514637,10
warm,XGBoost,AUPR,0.02727380141370462,0.0016609596550676744,10
warm,XGBoost,nDCG@10,0.08321057019294541,0.005075620420636079,10
warm,XGBoost,P@1,0.0065163968380078695,0.0036691359369690106,10
warm,XGBoost,P@15,0.03361311998590012,0.002334054912422769,10
warm,XGBoost,R@15,0.1265913309273431,0.006937386464738103,10
warm,XGBoost,Spearman,0.3097294096221208,0.011910639286513543,10
warm,XGBoost,RMSE,1.6885229511277664,0.011544926496510755,10
warm,XGBoost,MAE,1.4780605301556353,0.011030088815433554,10
warm,XGBoost,QWK,0.09634707905863886,0.006770996843137209,10
warm,XGBoost,Within1,0.5290686015900387,0.006485038276288709,10
