grouping,group,metric,n_drugs,mean_delta,median_delta,std_delta,positive_fraction,wilcoxon_p_two_sided,holm_p_within_metric
scaffold_fold,1,delta_DG_minus_D_rare_AP,46,0.0035201134680558706,-2.1928857445699997e-05,0.021531762787334163,0.4782608695652174,0.626091797799802,1.0
scaffold_fold,1,delta_DG_minus_D_middle_AP,59,0.010301913087769544,0.0003209104086297,0.08003963112136557,0.5423728813559322,0.30110217370973436,0.6721304615471557
scaffold_fold,1,delta_DG_minus_D_nonhot100_AP,72,0.013485677366281269,0.0037876830284873497,0.06469378669420084,0.6527777777777778,0.02822303574421223,0.14111517872106116
scaffold_fold,2,delta_DG_minus_D_AP,75,0.011697215172272707,0.0071665273381139,0.04546185814817625,0.6266666666666667,0.029193035946507497,0.20435125162555248
scaffold_fold,2,delta_DG_minus_D_rare_AP,45,0.022855691634773887,0.0030206112295664,0.058840587273120824,0.7777777777777778,3.6132389936938125e-05,0.00036132389936938125
scaffold_fold,2,delta_DG_minus_D_middle_AP,56,0.023106913522161637,0.0021682368067954,0.06774913170719694,0.625,0.016476639150585275,0.1318131132046822
scaffold_fold,2,delta_DG_minus_D_nonhot100_AP,72,0.016767144429575047,0.0040846184812953,0.13626978466202913,0.6944444444444444,0.0004248540797841756,0.00382368671805758
scaffold_fold,3,delta_DG_minus_D_AP,75,0.006983865676564349,0.0014343002461237,0.04444576287662368,0.52,0.3981727665123129,1.0
scaffold_fold,3,delta_DG_minus_D_rare_AP,35,-0.003081769658295783,-3.781872759152719e-05,0.01085969221690017,0.45714285714285713,0.5764270159997977,1.0
scaffold_fold,3,delta_DG_minus_D_middle_AP,49,0.02844647815807758,0.0004326195111399,0.22515544339443716,0.5714285714285714,0.337686529201072,0.6721304615471557
scaffold_fold,3,delta_DG_minus_D_nonhot100_AP,71,-0.004585837515780261,0.0002991822352237,0.0891186810976499,0.5492957746478874,0.7657402083830183,1.0
scaffold_fold,4,delta_DG_minus_D_AP,75,0.003787562838266826,0.0028382911941458,0.03498986593147836,0.6133333333333333,0.20315498020312706,0.9077776252678599
scaffold_fold,4,delta_DG_minus_D_rare_AP,43,0.03300831261563805,0.0019198182596875,0.13357016234552602,0.7674418604651163,0.00036107758796788403,0.0032496982917109563
scaffold_fold,4,delta_DG_minus_D_middle_AP,58,0.02757840520446756,0.00408234134612655,0.0785193812135694,0.7068965517241379,0.00013044459419677041,0.0013044459419677041
scaffold_fold,4,delta_DG_minus_D_nonhot100_AP,71,0.005835037621213622,0.0023617130933519,0.06640257524326744,0.7183098591549296,0.003349737332858983,0.024884487752997963
scaffold_fold,5,delta_DG_minus_D_AP,75,0.011088444709609175,0.0099002995961405,0.040180609636651654,0.6533333333333333,0.006858349954434611,0.05486679963547689
scaffold_fold,5,delta_DG_minus_D_rare_AP,42,0.02965286906755073,0.00014044281489105,0.18052536424294388,0.5476190476190477,0.15920821552435882,0.7960410776217941
scaffold_fold,5,delta_DG_minus_D_middle_AP,52,0.014108113637174517,0.00075468599709765,0.059200614109976755,0.5769230769230769,0.08687817840638239,0.5212690704382943
scaffold_fold,5,delta_DG_minus_D_nonhot100_AP,71,0.018715244713335213,0.0035746678920001,0.07225091872350123,0.704225352112676,0.0031105609691247454,0.024884487752997963
scaffold_fold,6,delta_DG_minus_D_AP,75,0.0158743298886606,0.0131918866257526,0.0308674472803777,0.7333333333333333,9.639466774223213e-06,9.639466774223214e-05
scaffold_fold,6,delta_DG_minus_D_rare_AP,45,0.010127200619767745,0.0,0.06919245175630168,0.4888888888888889,0.3267881869228404,1.0
scaffold_fold,6,delta_DG_minus_D_middle_AP,56,0.03865737832780653,0.00288896363023335,0.19909931634348893,0.6428571428571429,0.002103467449278483,0.018931207043506346
scaffold_fold,6,delta_DG_minus_D_nonhot100_AP,71,0.01060208311325852,0.0054293351159563,0.059071253160195916,0.647887323943662,0.009285888930916506,0.05571533358549904
scaffold_fold,7,delta_DG_minus_D_AP,75,0.004273508483540762,0.0002456679825894,0.03660922094918057,0.5066666666666667,0.5792651235059576,1.0
scaffold_fold,7,delta_DG_minus_D_rare_AP,43,0.0033890457367611636,-0.0003540771128007,0.03562613252481345,0.3953488372093023,0.4763190854800996,1.0
scaffold_fold,7,delta_DG_minus_D_middle_AP,50,0.0020214655945009637,0.00153285246518755,0.07853984775263458,0.66,0.11393994202132163,0.5696997101066081
scaffold_fold,7,delta_DG_minus_D_nonhot100_AP,72,0.0005594206186693605,0.00091066768370635,0.05351343285095359,0.5694444444444444,0.4830149374815145,1.0
scaffold_fold,8,delta_DG_minus_D_AP,75,0.009886692211309672,0.0040564022042883,0.046598361322342276,0.5466666666666666,0.18155552505357198,0.9077776252678599
scaffold_fold,8,delta_DG_minus_D_rare_AP,47,0.01939365843139454,0.0005000737844792,0.13282010164334013,0.6170212765957447,0.07848859826958687,0.5494201878871081
scaffold_fold,8,delta_DG_minus_D_middle_AP,56,0.004786513034947067,0.00063388375537535,0.036950182695101245,0.5535714285714286,0.16803261538678893,0.6721304615471557
scaffold_fold,8,delta_DG_minus_D_nonhot100_AP,74,0.018367307249619557,0.0057969564748014,0.06452442196959746,0.6891891891891891,0.0002079874708385547,0.002079874708385547
scaffold_fold,9,delta_DG_minus_D_AP,75,0.003597224649805866,-0.0004956848416908,0.03970499777982479,0.49333333333333335,0.5974606899482813,1.0
scaffold_fold,9,delta_DG_minus_D_rare_AP,46,0.023813696593724554,0.0004452841834324,0.1278652563201901,0.6086956521739131,0.02411815633362835,0.1929452506690268
scaffold_fold,9,delta_DG_minus_D_middle_AP,54,0.05710579645104398,0.00125844262484745,0.1772250086172513,0.6111111111111112,0.059926684663220514,0.4194867926425436
scaffold_fold,9,delta_DG_minus_D_nonhot100_AP,68,-0.0007637551566708906,0.00051221502043215,0.09577218164543805,0.5294117647058824,0.590776509718461,1.0
