scenario,model,fold,removed_top_n_hot_side_effects,MAP,auc_all,nDCG,P1,P5,P10,P15,R1,R5,R10,R15,auc_rank
cold,HSTrans,4,10,0.18872405840453027,,0.5104625126229052,0.28,0.2666666666666665,0.25999999999999995,0.25244444444444425,0.012170706155123832,0.05264816940564265,0.10608308919911484,0.150721752523763,0.8224808736954102
cold,CAFNet,4,20,0.1987828723944789,,0.5089072252704747,0.26666666666666666,0.27733333333333315,0.25866666666666677,0.24088888888888874,0.016355581816141326,0.07859183192937391,0.13305759488672148,0.19305560511853068,0.8141713987798134
cold,A3Net,4,20,0.17905184619868184,,0.49903660535615835,0.25333333333333335,0.23199999999999987,0.2226666666666666,0.22044444444444433,0.01609476481478177,0.06645511296486867,0.1062897962874272,0.15507572744815087,0.8169944616483161
cold,RF,4,20,0.09181806987071427,,0.3226192976651611,0.013333333333333334,0.13599999999999995,0.11066666666666661,0.09155555555555552,0.0006666666666666668,0.03455272037891933,0.04796795777654879,0.05643910623766413,0.769508101590466
cold,XGBoost,4,20,0.07033942235151368,,0.10492072460722893,0.013333333333333334,0.026666666666666665,0.029333333333333343,0.028444444444444442,0.0006666666666666668,0.005125704803885378,0.014436789584893542,0.03102805175334692,0.7455373464709911
cold,Global popularity,4,20,0.19008441110149066,,0.5217742660156096,0.32,0.27999999999999986,0.26400000000000007,0.25155555555555537,0.014029601773810156,0.05873985157312696,0.09992925539580966,0.14645090992885712,0.829283763260424
cold,HSTrans,4,20,0.1505666484105313,,0.45745962388583244,0.18666666666666668,0.19999999999999996,0.19866666666666663,0.1893333333333333,0.009092320785978537,0.052302856189498946,0.09968294766048343,0.1355063521882956,0.8049560122064238
cold,CAFNet,4,50,0.14946779515800043,,0.43531335763828255,0.24,0.2106666666666666,0.18799999999999992,0.16977777777777772,0.01992227332001669,0.08653815304374855,0.13850542479130853,0.18232080765506928,0.7784490213554197
cold,A3Net,4,50,0.12451943256683486,,0.3736738980845977,0.18666666666666668,0.15466666666666667,0.15066666666666662,0.14755555555555547,0.014213049180201054,0.05359121348849519,0.10235461748368158,0.1428077222721431,0.7781172826950615
cold,RF,4,50,0.05661969595437493,,0.15698992525520616,0.013333333333333334,0.06400000000000002,0.04933333333333333,0.04622222222222225,0.0011111111111111111,0.010223244034234103,0.02658217271432855,0.04374603904046946,0.7344761882152937
cold,XGBoost,4,50,0.04786942408585403,,0.05354464875904971,0.013333333333333334,0.008000000000000002,0.013333333333333332,0.012444444444444444,0.0011111111111111111,0.0016149732620320855,0.00900766076888368,0.010751521792917117,0.7074674857932564
cold,Global popularity,4,50,0.11798025243865749,,0.3333216792776908,0.10666666666666667,0.17333333333333326,0.1613333333333333,0.16711111111111102,0.0036447661869710023,0.04833602074346591,0.07788187336100504,0.13541658503555845,0.7935873323845525
cold,HSTrans,4,50,0.09915950882073254,,0.33290565875219047,0.08,0.12266666666666666,0.11999999999999995,0.11911111111111107,0.005600953024888116,0.036485820618491545,0.08820906660825827,0.11584204435417413,0.7700203367555059
cold,CAFNet,4,100,0.1121658280854386,,0.33211554794823317,0.1643835616438356,0.12054794520547948,0.09863013698630133,0.09223744292237446,0.03619611769115784,0.07431929939380827,0.11273933378861532,0.16053528619831317,0.7276528074378453
cold,A3Net,4,100,0.08937914601373054,,0.2399802637207145,0.0958904109589041,0.08767123287671236,0.07808219178082187,0.07031963470319637,0.01631180577574373,0.049799832394392604,0.08305708642264673,0.12029742805943755,0.7296158096462221
cold,RF,4,100,0.038864991626147365,,0.1372251552937621,0.0136986301369863,0.043835616438356165,0.03835616438356165,0.02831050228310502,0.00228310502283105,0.011767562938175637,0.03235248323466092,0.035898688748676376,0.6806802002227863
cold,XGBoost,4,100,0.034379719992127786,,0.05997145485829086,0.0136986301369863,0.01643835616438356,0.0136986301369863,0.01278538812785388,0.00228310502283105,0.019633566930627507,0.021984499815043183,0.024515330010423997,0.6460717983214027
cold,Global popularity,4,100,0.06702780474085475,,0.20682912769694506,0.0547945205479452,0.07397260273972606,0.057534246575342465,0.06575342465753425,0.0023499886513585143,0.05697350495985378,0.06836626978108813,0.10341025701402384,0.7312238810530955
cold,HSTrans,4,100,0.06444864386786978,,0.21164993767078427,0.0410958904109589,0.06575342465753425,0.06164383561643835,0.063013698630137,0.0076557945551113515,0.03849064868361157,0.06920921332625435,0.08814464297491452,0.7217348332721443
cold,CAFNet,5,10,0.2672523482621567,,0.6579531511918852,0.4533333333333333,0.4213333333333333,0.3866666666666667,0.3555555555555555,0.022807006295308182,0.0797630688408643,0.12962466504458053,0.17426591252441537,0.7953118322851556
cold,A3Net,5,10,0.24625231195716868,,0.5876958356055507,0.3333333333333333,0.3546666666666666,0.3386666666666666,0.32622222222222214,0.010915673861220013,0.07299696048921729,0.114892627694362,0.15734631547529043,0.7919934774323885
cold,RF,5,10,0.12848435407880884,,0.31512796355975115,0.013333333333333334,0.12800000000000003,0.13599999999999995,0.144,3.445305770887166e-05,0.020452881442934064,0.035703526205812915,0.0548492055421338,0.7521772353911554
