ingredient_id,effect_meddra_id,rxnorm_id,rxnorm_name,drug_index,meddra_id,meddra_name,side_index,drug_name_benchmark,side_effect_benchmark,mapping_rule,known_in_sider_matrix
4337,10037087,4337,fentanyl,160,10037087,Pruritus,758,fentanyl,pruritus,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10015090,194000,capecitabine,487,10015090,Epistaxis,303,capecitabine,epistaxis,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
41126,10015090,41126,fluticasone,490,10015090,Epistaxis,303,fluticasone,epistaxis,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10001760,194000,capecitabine,487,10001760,Alopecia,28,capecitabine,alopecia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6375,10001760,6375,levodopa,527,10001760,Alopecia,28,levodopa,alopecia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
114477,10001760,114477,levetiracetam,462,10001760,Alopecia,28,levetiracetam,alopecia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
194000,10013946,194000,capecitabine,487,10013946,Dyspepsia,269,capecitabine,dyspepsia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
89013,10013946,89013,aripiprazole,475,10013946,Dyspepsia,269,aripiprazole,dyspepsia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
17767,10013946,17767,amlodipine,45,10013946,Dyspepsia,269,amlodipine,dyspepsia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
194000,10021789,194000,capecitabine,487,10021789,Infection,488,capecitabine,infection,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
114477,10021789,114477,levetiracetam,462,10021789,Infection,488,levetiracetam,infection,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
17767,10021789,17767,amlodipine,45,10021789,Infection,488,amlodipine,infection,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
41126,10021789,41126,fluticasone,490,10021789,Infection,488,fluticasone,infection,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
73494,10021789,73494,telmisartan,498,10021789,Infection,488,telmisartan,infection,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
19831,10021789,19831,budesonide,73,10021789,Infection,488,budesonide,infection,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
337525,10021789,337525,erlotinib,585,10021789,Infection,488,erlotinib,infection,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
1251,10021789,1251,azacitidine,27,10021789,Infection,488,azacitidine,infection,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
194000,10042128,194000,capecitabine,487,10042128,Stomatitis,869,capecitabine,stomatitis,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10024264,194000,capecitabine,487,10024264,Lethargy,536,capecitabine,lethargy,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10016256,194000,capecitabine,487,10016256,Fatigue,332,capecitabine,fatigue,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6375,10016256,6375,levodopa,527,10016256,Fatigue,332,levodopa,fatigue,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
89013,10016256,89013,aripiprazole,475,10016256,Fatigue,332,aripiprazole,fatigue,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
17767,10016256,17767,amlodipine,45,10016256,Fatigue,332,amlodipine,fatigue,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
68244,10016256,68244,lamivudine,220,10016256,Fatigue,332,lamivudine,fatigue,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
60307,10016256,60307,entacapone,625,10016256,Fatigue,332,entacapone,fatigue,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
275635,10016256,275635,desloratadine,550,10016256,Fatigue,332,desloratadine,fatigue,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10029354,194000,capecitabine,487,10029354,Neutropenia,638,capecitabine,neutropenia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10033371,194000,capecitabine,487,10033371,Pain,683,capecitabine,pain,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10012431,194000,capecitabine,487,10012431,Dermatitis,236,capecitabine,dermatitis,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10013573,194000,capecitabine,487,10013573,Dizziness,252,capecitabine,dizziness,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
17767,10013573,17767,amlodipine,45,10013573,Dizziness,252,amlodipine,dizziness,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
73494,10013573,73494,telmisartan,498,10013573,Dizziness,252,telmisartan,dizziness,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
22299,10013573,22299,daptomycin,700,10013573,Dizziness,252,daptomycin,dizziness,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10020937,194000,capecitabine,487,10020937,Hypoaesthesia,452,capecitabine,hypoaesthesia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
1100072,10007554,1100072,abiraterone,558,10007554,Cardiac failure,157,abiraterone,cardiac failure,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
1100072,10061024,1100072,abiraterone,558,10061024,Cardiac disorder,156,abiraterone,cardiac disorder,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
