auc_all,aupr_all,spearman,rMSE,MAE,drugAUC,drugAUPR,MAP,nDCG,P1,P5,P10,P15,R1,R5,R10,R15,model,fold
0.9220604099244876,0.9224505485086506,0.5671476933927762,2.1952047477693064,1.9955646561789242,0.9134159950193634,0.9138842451611444,0.9138842451611444,0.9378256475912826,0.9751937984496124,0.6096124031007752,0.4108527131782946,0.3079069767441861,0.40766462468130427,0.779563433484041,0.8649918676005244,0.8906224798398427,CAFNet-DG,6
0.9943365695792881,0.9943659791725288,0.5347091115671821,1.2693617759050246,0.9283438512250206,0.9906276386152548,0.9906615498437255,0.9906615498437255,0.9930771200523827,0.9984520123839009,0.6352941176470589,0.42848297213622294,0.32125902992776056,0.4263853909166388,0.8421694726430493,0.9345121724717094,0.9614195336452172,CAFNet,7
0.7319309600862999,0.733140671771984,0.49365876374860346,3.158987595902252,2.9747804470927113,0.7649879972108907,0.766554614464432,0.766554614464432,0.8324044357189961,0.9318885448916409,0.548297213622291,0.3506191950464396,0.25686274509803925,0.3729798181612208,0.6872237862345145,0.7400735123995128,0.7547935370551623,CAFNet-D,7
0.901564185544768,0.902051692696757,0.5350931601106447,2.285798278211055,2.0636532204828457,0.8947420913922787,0.8953413683079327,0.8953413683079327,0.9255426546799335,0.9798761609907121,0.5981424148606812,0.3945820433436532,0.2949432404540764,0.40884153126751593,0.7744247431723136,0.8480860469975964,0.8707732778491706,CAFNet-DG,7
0.9964940668824164,0.9965122924116135,0.46370167665245476,1.219224967261569,0.8931033723664138,0.9957865921488211,0.9958080213169561,0.9958080213169561,0.9973532861130487,1.0,0.6523219814241487,0.4354489164086687,0.3254901960784314,0.40953192222670753,0.848098207624766,0.9410487421452026,0.9680909632728054,CAFNet,8
0.8152642934196332,0.8161378796562735,0.488798973792518,2.8994726993939457,2.7086412627779133,0.83116812768497,0.8322881566541628,0.8322881566541628,0.8823680496483716,0.9566563467492261,0.590092879256966,0.3809597523219815,0.27925696594427246,0.37328321221638766,0.7342211790805547,0.7990274837519381,0.8157578956289183,CAFNet-D,8
0.9444444444444444,0.9447257584552703,0.5063885245269075,2.0933219764001154,1.861684513780637,0.9301908399482028,0.9305272621021927,0.9305272621021927,0.9494224487608274,0.9829721362229102,0.6291021671826625,0.41408668730650156,0.30825593395252837,0.3925040584496178,0.7999299929704832,0.8805414905388798,0.9042387129440603,CAFNet-DG,8
0.9981075966477426,0.998117418410466,0.5293256896360672,1.1071996907754875,0.8031953211451288,0.9974299065420561,0.997441382079557,0.997441382079557,0.9981996020016327,1.0,0.6454828660436137,0.4320872274143302,0.32377985462097614,0.43148498597856016,0.8500002154587403,0.9405371959869563,0.9675318949822362,CAFNet,9
0.7923763179237632,0.793343472039215,0.512844686924393,3.0047352691235316,2.828030549601622,0.8213830529713819,0.8226278454528696,0.8226278454528696,0.8745117526457902,0.9485981308411215,0.5763239875389408,0.3721183800623053,0.2749740394600208,0.38637854776464525,0.7289493672251574,0.7897769796770595,0.8074866760011502,CAFNet-D,9
0.9364693160313599,0.936788926966329,0.5436974033868156,2.1039238032070604,1.8847176622832005,0.9279682243669891,0.9283536138314468,0.9283536138314468,0.9478944208899386,0.9797507788161994,0.6158878504672897,0.4079439252336449,0.3052959501557632,0.4130530025933057,0.7987003341354946,0.8771081233289115,0.901314041790084,CAFNet-DG,9
