scenario,model,fold,hot_top_n,topk,mean_topk_hot_fraction
cold,HSTrans,6,50,15,0.776
cold,Decoupled-v3,6,50,15,0.9875555555555555
cold,CAFNet,6,100,15,0.8862222222222222
cold,A3Net,6,100,15,0.8924444444444445
cold,RF,6,100,15,0.607111111111111
cold,XGBoost,6,100,15,0.43288888888888893
cold,Global popularity,6,100,15,1.0
cold,HSTrans,6,100,15,0.9066666666666666
cold,Decoupled-v3,6,100,15,0.9964444444444445
cold,CAFNet,7,10,15,0.4533333333333333
cold,A3Net,7,10,15,0.4302222222222221
cold,RF,7,10,15,0.2755555555555555
cold,XGBoost,7,10,15,0.30399999999999994
cold,Global popularity,7,10,15,0.6666666666666665
cold,HSTrans,7,10,15,0.5031111111111111
cold,Decoupled-v3,7,10,15,0.6435555555555554
cold,CAFNet,7,20,15,0.6862222222222223
cold,A3Net,7,20,15,0.6897777777777779
cold,RF,7,20,15,0.33333333333333326
cold,XGBoost,7,20,15,0.3644444444444444
cold,Global popularity,7,20,15,1.0
cold,HSTrans,7,20,15,0.6915555555555556
cold,Decoupled-v3,7,20,15,0.9324444444444445
cold,CAFNet,7,50,15,0.8391111111111111
cold,A3Net,7,50,15,0.8524444444444443
cold,RF,7,50,15,0.5262222222222223
cold,XGBoost,7,50,15,0.42577777777777776
cold,Global popularity,7,50,15,1.0
cold,HSTrans,7,50,15,0.8266666666666667
cold,Decoupled-v3,7,50,15,0.9946666666666668
cold,CAFNet,7,100,15,0.9582222222222223
cold,A3Net,7,100,15,0.9368888888888889
cold,RF,7,100,15,0.6079999999999999
cold,XGBoost,7,100,15,0.4266666666666666
cold,Global popularity,7,100,15,1.0
cold,HSTrans,7,100,15,0.9271111111111111
cold,Decoupled-v3,7,100,15,1.0
cold,CAFNet,8,10,15,0.4124444444444445
cold,A3Net,8,10,15,0.44888888888888884
cold,RF,8,10,15,0.26133333333333325
cold,XGBoost,8,10,15,0.2977777777777777
cold,Global popularity,8,10,15,0.6666666666666665
cold,HSTrans,8,10,15,0.37066666666666664
cold,Decoupled-v3,8,10,15,0.6186666666666666
cold,CAFNet,8,20,15,0.6186666666666667
cold,A3Net,8,20,15,0.6311111111111113
cold,RF,8,20,15,0.3102222222222222
cold,XGBoost,8,20,15,0.35466666666666663
cold,Global popularity,8,20,15,1.0
cold,HSTrans,8,20,15,0.5555555555555555
cold,Decoupled-v3,8,20,15,0.9057777777777778
cold,CAFNet,8,50,15,0.7519999999999999
cold,A3Net,8,50,15,0.7884444444444444
cold,RF,8,50,15,0.5439999999999999
cold,XGBoost,8,50,15,0.4168888888888888
cold,Global popularity,8,50,15,1.0
cold,HSTrans,8,50,15,0.7306666666666666
cold,Decoupled-v3,8,50,15,0.9902222222222224
cold,CAFNet,8,100,15,0.8853333333333334
cold,A3Net,8,100,15,0.9191111111111112
cold,RF,8,100,15,0.6186666666666666
cold,XGBoost,8,100,15,0.4168888888888888
cold,Global popularity,8,100,15,1.0
cold,HSTrans,8,100,15,0.8728888888888889
cold,Decoupled-v3,8,100,15,0.9964444444444445
cold,CAFNet,9,10,15,0.43822222222222224
cold,A3Net,9,10,15,0.4977777777777777
cold,RF,9,10,15,0.25511111111111107
cold,XGBoost,9,10,15,0.3084444444444444
cold,Global popularity,9,10,15,0.6666666666666665
cold,HSTrans,9,10,15,0.3342222222222222
cold,Decoupled-v3,9,10,15,0.6533333333333332
cold,CAFNet,9,20,15,0.6462222222222223
cold,A3Net,9,20,15,0.7146666666666666
cold,RF,9,20,15,0.30311111111111105
cold,XGBoost,9,20,15,0.3688888888888888
cold,Global popularity,9,20,15,1.0
cold,HSTrans,9,20,15,0.5084444444444446
cold,Decoupled-v3,9,20,15,0.950222222222222
cold,CAFNet,9,50,15,0.8151111111111111
cold,A3Net,9,50,15,0.856888888888889
cold,RF,9,50,15,0.5688888888888889
cold,XGBoost,9,50,15,0.4275555555555555
cold,Global popularity,9,50,15,1.0
cold,HSTrans,9,50,15,0.7306666666666666
cold,Decoupled-v3,9,50,15,0.9964444444444447
cold,CAFNet,9,100,15,0.9244444444444446
cold,A3Net,9,100,15,0.9324444444444443
cold,RF,9,100,15,0.6293333333333334
cold,XGBoost,9,100,15,0.4275555555555555
cold,Global popularity,9,100,15,1.0
cold,HSTrans,9,100,15,0.8968888888888888
cold,Decoupled-v3,9,100,15,1.0
