MAP,AUROC,AUPR,nDCG@10,P@15,R@15,rare_AP,middle_AP,frequent_AP,matched_AUPR,top100_removed_MAP,model,strength,fold,mean_gate,rare_gate,middle_gate,frequent_gate
0.37889743441500284,0.8300384436461329,0.26694144318353974,0.5660292865821139,0.4648888888888888,0.2787702481938498,0.06626223690793384,0.09195189340442671,0.4230660481209096,0.6723089693903405,0.10072353856004904,learned_gate_shrink_0.4,0.4,3,0.5961959958076477,0.587122917175293,0.5964415073394775,0.6056692004203796
0.37593893526445704,0.829757756176439,0.26347038765970043,0.5617786418808796,0.46044444444444443,0.27664256537151716,0.06566314366015717,0.09265671815841008,0.42056286886249034,0.6863309708147551,0.101335610393529,learned_gate_shrink_0.6,0.6,3,0.594294011592865,0.5806843042373657,0.5946623086929321,0.6085037589073181
0.3872200714644007,0.8299963444785463,0.27187484532800016,0.5833857567117843,0.4666666666666667,0.2775110599118208,0.06812219186614195,0.0936160315416253,0.4309190147546714,0.6939365785763241,0.09837015281379648,CAFNet-DG-fixed,,3,0.6,0.6,0.6,0.6
0.3880247590729564,0.8237791322716,0.2694961714346024,0.5935057156764045,0.4773333333333333,0.29036827345814337,0.05299020872541971,0.10132763420969462,0.43252559325469747,0.6821742262422532,0.10863115414295493,CAFNet-D,,3,1.0,1.0,1.0,1.0
0.4258681650087388,0.8421866734149148,0.32222381167116404,0.6493087112524745,0.5306666666666667,0.2929372700317891,0.0899016485540964,0.07692879901059721,0.47777948030492867,0.7193788704086262,0.11231718230994368,learned_gate_shrink_0,0.0,4,0.5999999642372131,0.6000000238418579,0.6000000238418579,0.6000000238418579
0.425282720649036,0.8423005550212783,0.3222044753637645,0.6482757774852327,0.5306666666666667,0.2929372700317891,0.09013276748259505,0.07670448553821352,0.4774408269847682,0.7224519919173221,0.11214091321647121,learned_gate_shrink_0.025,0.025,4,0.6002962589263916,0.5998722910881042,0.6004104018211365,0.6006172299385071
0.4252071819960557,0.8424108559245327,0.3220831797315859,0.6460063563909683,0.528888888888889,0.292185636044861,0.09014800828756785,0.07668244815030986,0.47762067165079164,0.7141735410103338,0.11216273820833741,learned_gate_shrink_0.05,0.05,4,0.6005924344062805,0.5997444987297058,0.6008207201957703,0.6012343764305115
0.42455912285102765,0.842519260727446,0.3219354536445626,0.6439811537687078,0.5271111111111112,0.2911452320044569,0.09019767939543588,0.07655402070398457,0.47689692349474283,0.7171709949538395,0.11069153740905706,learned_gate_shrink_0.075,0.075,4,0.6008886098861694,0.5996168255805969,0.6012310981750488,0.6018515229225159
0.42386256598595023,0.8426277663605978,0.3218360662587483,0.6434062851218888,0.5262222222222223,0.2907007875600125,0.09021084745000352,0.07635763495239599,0.475985005258282,0.7129897281993056,0.1107701009051144,learned_gate_shrink_0.1,0.1,4,0.6011848449707031,0.5994889736175537,0.6016414165496826,0.602468729019165
0.4235514256472905,0.8428325329010913,0.3215932858088447,0.6439076426679009,0.5235555555555557,0.28769831842421,0.09396246657549259,0.07731849127957832,0.47565009165902067,0.7154769808736817,0.11133862460450995,learned_gate_shrink_0.15,0.15,4,0.6017772555351257,0.5992335081100464,0.6024620532989502,0.6037030816078186
