fold,drug_index,model,macro_AP,nDCG@10,rare_AP,middle_AP,frequent_AP
9,83,Drug-stratum gate,0.2717507835411669,0.45718160765461063,,0.013293586851434096,0.28903975168621093
9,96,CAFNet,0.6285714285714286,0.7426050123677905,,,0.6285714285714286
9,96,CAFNet-D,0.5586904761904762,0.5531464700081437,,,0.5586904761904762
9,96,CAFNet-DG,0.6523809523809524,0.7731930041332795,,,0.6523809523809524
9,96,Group-only,0.208548644338118,0.25201638021183603,,,0.21157894736842103
9,96,Global gate,0.5740384615384615,0.5531464700081437,,,0.5740384615384615
9,96,Drug gate,0.44000000000000006,0.4852285551163225,,,0.44000000000000006
9,96,Drug-stratum gate,0.293931623931624,0.31608365985743897,,,0.293931623931624
9,103,CAFNet,0.2901475065343099,0.3164618153841292,,0.0196078431372549,0.3085962287374248
9,103,CAFNet-D,0.4305849916646154,0.6136525857537392,,0.013157894736842105,0.4638371996159049
9,103,CAFNet-DG,0.4383796157435888,0.6207622843987103,,0.015384615384615385,0.4698029806963893
9,103,Group-only,0.4492035735203695,0.6207622843987103,,0.005555555555555556,0.48402617835831363
9,103,Global gate,0.45113756269940686,0.5983950669742498,,0.25,0.47600973484349274
9,103,Drug gate,0.4263100135304649,0.6437684113853992,,0.08333333333333333,0.45278806938776595
9,103,Drug-stratum gate,0.4233709199764129,0.5326208815196265,,0.05,0.45742340130033476
9,108,CAFNet,0.6600071247143493,0.6025064803817581,0.2074693233841452,0.24815319902419083,0.7919053283037423
9,108,CAFNet-D,0.7083258251297265,1.0,0.13695566921793864,0.25278714769570043,0.8443502217801614
9,108,CAFNet-DG,0.7149632800284251,0.9305687780632227,0.18426259855625,0.24981761299185457,0.8355838259432333
9,108,Group-only,0.7463021244460508,1.0,0.16647085927015803,0.2766551050730538,0.8540214921923179
9,108,Global gate,0.7453370260679146,0.9216017310213245,0.20306630447840085,0.32728841367246986,0.8702480652150627
9,108,Drug gate,0.747933894012749,1.0,0.16367500569943746,0.34703226624896527,0.8695275990849016
9,108,Drug-stratum gate,0.7762771902591904,1.0,0.1639140618123087,0.3058056868573156,0.8849429779194641
9,111,CAFNet,0.49378660984613565,0.8553475075669357,,,0.5012139988918796
9,111,CAFNet-D,0.5709062516661623,0.8611375561264455,,,0.5747160185660095
9,111,CAFNet-DG,0.5486370130175428,0.8899541168509599,,,0.5523740036628222
9,111,Group-only,0.5388685671276717,0.7799082337019198,,,0.5557959020428144
9,111,Global gate,0.5752374613527347,0.8415908474314976,,,0.5795249048320216
9,111,Drug gate,0.547441893111167,0.8899541168509599,,,0.556103229416473
9,111,Drug-stratum gate,0.551601764529359,0.7600791051976192,,,0.5582784576066229
9,114,CAFNet,0.07353420670873559,0.0,,0.14541576729365813,0.08166410632897161
9,114,CAFNet-D,0.2596768841559786,0.42492601381667106,,0.01203551881018914,0.3411356556216369
9,114,CAFNet-DG,0.261388288452455,0.42492601381667106,,0.0171167031825057,0.34184221307231044
9,114,Group-only,0.21942295854026106,0.34369669139214537,,0.01718195078640284,0.2850201081632645
9,114,Global gate,0.24979524561835356,0.4152807670887413,,0.03557588711639384,0.32353160141362536
9,114,Drug gate,0.29150453514893204,0.5103515512676446,,0.019203046375628995,0.3804973400226454
