group,model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std
frequent,Gate sigmoid low=0.2 mid=0 high=0.9 temp=2,0.4730031922623637,0.21165368282182534,0.6075642712642267,0.2848776994972821,0.5060444444444445,0.2795861763489736,0.32419579672667964,0.18877160124027653
frequent,Gate sigmoid low=0.2 mid=0 high=1 temp=0.5,0.4694150354887262,0.20761493175663104,0.6188680700001041,0.2838994851842445,0.5091555555555556,0.276856436133516,0.32739701089574424,0.1880233038170267
frequent,Gate sigmoid low=0.2 mid=0 high=1 temp=1,0.46599424225477415,0.20795928467576127,0.6080169965765468,0.2821820091264709,0.4974222222222222,0.2728736750326732,0.32075084989101244,0.18671804357618707
frequent,Gate sigmoid low=0.2 mid=0 high=1 temp=2,0.46941545654204675,0.21110797898972097,0.601890404834914,0.28536867857601067,0.5009777777777777,0.27794719414579677,0.3204874862604032,0.18853000752055682
frequent,Gate sigmoid low=0.4 mid=0 high=0.8 temp=0.5,0.4899679696119853,0.2123855871491315,0.6314532662808652,0.2870337500828522,0.5269333333333334,0.2857760146934987,0.3362966543709265,0.18863802980629432
frequent,Gate sigmoid low=0.4 mid=0 high=0.8 temp=1,0.48876990907216894,0.2123557429233783,0.6311872099495203,0.2863666744178898,0.5229333333333334,0.2849407062048427,0.3343765375133374,0.19056505341217658
frequent,Gate sigmoid low=0.4 mid=0 high=0.8 temp=2,0.48910134782728537,0.213377171763831,0.6301532475436765,0.2870783314483313,0.5214222222222223,0.28642902836577205,0.3325608179526788,0.1900941169423907
frequent,Gate sigmoid low=0.4 mid=0 high=0.9 temp=0.5,0.48578696966716006,0.21160189066932678,0.6287093129128188,0.2877474148232543,0.5259555555555556,0.28281978818084624,0.33715245637746977,0.18899042085655787
frequent,Gate sigmoid low=0.4 mid=0 high=0.9 temp=1,0.4853351863812238,0.21168325191201914,0.6279221182217563,0.2865266852825578,0.5207111111111111,0.2822874191578242,0.3347824219890986,0.19078040690593634
frequent,Gate sigmoid low=0.4 mid=0 high=0.9 temp=2,0.4869924010767054,0.21285973454005588,0.6269268114038085,0.28625658217360955,0.5200888888888889,0.28567540258584595,0.3323096524368868,0.19058689037710907
frequent,Gate sigmoid low=0.4 mid=0 high=1 temp=0.5,0.480073848163303,0.21031362679940785,0.62724245929521,0.2857436534122953,0.5211555555555556,0.2825485838227548,0.3333352725139923,0.1892715335547626
