model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std
Gate piecewise low=0 mid=0.8 high=1 temp=1,0.19117368697308643,0.13515699433991227,0.33497791849412145,0.2766078609859094,0.2843555555555556,0.21893999148947518,0.15456514836633453,0.15095350965953575
Gate piecewise low=0 mid=0.9 high=0.9 temp=1,0.22735024631033812,0.14584288366123382,0.3936562227706101,0.28618562972938655,0.3409777777777778,0.237902851809463,0.18305980964352822,0.15969660890456425
Gate piecewise low=0 mid=0.9 high=1 temp=1,0.19073050314348453,0.1349359907726746,0.33497791849412145,0.2766078609859094,0.2843555555555556,0.21893999148947518,0.15456514836633453,0.15095350965953575
Gate piecewise low=0.1 mid=0.2 high=0.6 temp=1,0.33594442820688386,0.16936855792582342,0.5290384155490878,0.293045446397788,0.4592888888888889,0.26728693624066835,0.24180547162787688,0.17560670446408277
Gate piecewise low=0.1 mid=0.2 high=0.8 temp=1,0.2719557515304186,0.15497195308248984,0.4273021512656787,0.28683966813701695,0.37724444444444444,0.24299250251294957,0.20282880795824743,0.16854856739394786
Gate piecewise low=0.1 mid=0.2 high=0.9 temp=1,0.2368483572148551,0.1463723649938761,0.37142314730017284,0.2777306666950879,0.32862222222222226,0.2325437038444509,0.17566167062783958,0.15850086921867532
Gate piecewise low=0.1 mid=0.2 high=1 temp=1,0.20228886051308215,0.1365079637992285,0.31614308854257317,0.2669406910091958,0.28168888888888893,0.21718101513328072,0.15052679446787184,0.15002127028635445
Gate piecewise low=0.1 mid=0.4 high=0.6 temp=1,0.3632325248129737,0.17528609292607358,0.5819246814562041,0.29339143917700616,0.49333333333333335,0.2789558167934302,0.2581282663420711,0.18142301879291067
Gate piecewise low=0.1 mid=0.4 high=0.8 temp=1,0.31266607570568344,0.16523619273461573,0.515926831679966,0.291346317118212,0.43875555555555557,0.26218461508615487,0.23255010456073041,0.1722874739135353
Gate piecewise low=0.1 mid=0.4 high=0.9 temp=1,0.2781478350340006,0.15937577291192667,0.46682962430189423,0.29224143695428845,0.39742222222222223,0.2504395029094147,0.21269962240847878,0.1686514384807295
Gate piecewise low=0.1 mid=0.4 high=1 temp=1,0.24201368793569572,0.15191336207450898,0.41079749828208906,0.28940568748308393,0.3495111111111111,0.2371746201119723,0.1871753288449379,0.1626306446893646
Gate piecewise low=0.1 mid=0.6 high=0.6 temp=1,0.3659151636562548,0.1756709878740641,0.5861631485028598,0.2929763263498593,0.4981333333333334,0.2797090059732589,0.26050614122405386,0.18185229602613984
Gate piecewise low=0.1 mid=0.6 high=0.8 temp=1,0.32270432130608534,0.16764466790189533,0.5309846643372697,0.29169158162366204,0.45475555555555564,0.26782191536799616,0.23997953093669763,0.17464149051859215
Gate piecewise low=0.1 mid=0.6 high=0.9 temp=1,0.29120167475998665,0.162041947833897,0.49035962684411566,0.29321094054375785,0.41813333333333336,0.25757201656536627,0.22311701588685165,0.17065618530757123
Gate piecewise low=0.1 mid=0.6 high=1 temp=1,0.2564012994071867,0.15575376949835554,0.44078616597351844,0.2918562756505607,0.37360000000000004,0.2444626390714847,0.20054480556189666,0.16495623652129957
Gate piecewise low=0.1 mid=0.8 high=0.8 temp=1,0.3222637856520607,0.1673378460890428,0.5315780342849732,0.2915001623039611,0.456,0.26833921412590733,0.24069599182751517,0.17457589090158757
Gate piecewise low=0.1 mid=0.8 high=0.9 temp=1,0.2920015426354699,0.16218115453357856,0.49194955933406814,0.2942540935146479,0.4206222222222223,0.2586952148032365,0.22402618209985378,0.17008052747148628
Gate piecewise low=0.1 mid=0.8 high=1 temp=1,0.2580974432127702,0.15592693008594127,0.44363198575063256,0.2931470772952458,0.37733333333333335,0.24681685128336878,0.20221515907101237,0.1656702419761134
Gate piecewise low=0.1 mid=0.9 high=0.9 temp=1,0.2913119137685987,0.16194361768994234,0.49194955933406814,0.2942540935146479,0.4206222222222223,0.2586952148032365,0.22402618209985378,0.17008052747148628
Gate piecewise low=0.1 mid=0.9 high=1 temp=1,0.2576569872073762,0.15572980627321645,0.44363549699763977,0.29314253526929046,0.37760000000000005,0.2473575285327327,0.20226637834781463,0.16566313973312904
Gate piecewise low=0.2 mid=0.2 high=0.6 temp=1,0.34885139529194914,0.17225633959850498,0.5408196587874871,0.2934262703024521,0.4674666666666667,0.26803046896745103,0.24633277461821562,0.17659435904776272
Gate piecewise low=0.2 mid=0.2 high=0.8 temp=1,0.288755820973151,0.15850652815687646,0.44462337873566565,0.28509917851634825,0.3899555555555556,0.2450758147432372,0.20908714264424755,0.16930852617743414
Gate piecewise low=0.2 mid=0.2 high=0.9 temp=1,0.2547688715388795,0.15055877078973298,0.38667291590286934,0.277587543650253,0.34417777777777775,0.23270823084744716,0.18466936010562662,0.15989287374528396
Gate piecewise low=0.2 mid=0.2 high=1 temp=1,0.22079621728498985,0.14186354066130877,0.33268557448058733,0.2678476584034049,0.2970666666666667,0.21983052365559425,0.15851128194913,0.15167274938754588
Gate piecewise low=0.2 mid=0.4 high=0.6 temp=1,0.38260910714989566,0.17926724439768327,0.6019007266879662,0.29444609832513335,0.5074666666666667,0.2822976910145977,0.26448312566211,0.1811018759650369
Gate piecewise low=0.2 mid=0.4 high=0.8 temp=1,0.3419219718729504,0.17028633187845363,0.5523951508363897,0.2909463953042824,0.46817777777777775,0.2682044519527461,0.2469478918053781,0.1765768778411604
Gate piecewise low=0.2 mid=0.4 high=0.9 temp=1,0.310602340817746,0.16500311936077688,0.5098052442125344,0.29159357755375087,0.42968888888888884,0.2584545336849353,0.22829189789967985,0.17121340937577867
Gate piecewise low=0.2 mid=0.4 high=1 temp=1,0.2763830133021546,0.15935429000064688,0.4616509044438198,0.29184186896714603,0.3844444444444445,0.2456826940473803,0.2044939304933778,0.16500051131752644
Gate piecewise low=0.2 mid=0.6 high=0.6 temp=1,0.38746841263198767,0.18027062234773492,0.6081645066235222,0.29458834674998463,0.5144,0.2835394993266124,0.26751367343229093,0.1817059585726993
Gate piecewise low=0.2 mid=0.6 high=0.8 temp=1,0.35780144164102157,0.1739259518641749,0.5751630615623325,0.2930071368883811,0.4908444444444444,0.2755674612565987,0.25757559380251166,0.17953815180923055
Gate piecewise low=0.2 mid=0.6 high=0.9 temp=1,0.3322863681226446,0.16875053063445178,0.5466671292315625,0.2925338273715812,0.46515555555555554,0.26917616121364146,0.24533990845743528,0.17740599961036418
Gate piecewise low=0.2 mid=0.6 high=1 temp=1,0.3020191955896091,0.1642795106425196,0.5102710873759004,0.29253632374401084,0.4285333333333334,0.26090359114967354,0.22788189920730262,0.17174947841196042
Gate piecewise low=0.2 mid=0.8 high=0.8 temp=1,0.3584688384705264,0.17390833461190258,0.5763015451367014,0.2929914648793667,0.4923555555555556,0.27655925944107185,0.2580859975437923,0.17954706249239757
Gate piecewise low=0.2 mid=0.8 high=0.9 temp=1,0.3351832240841361,0.16947592444128556,0.5491414533262704,0.29286303587767304,0.4690666666666667,0.27143082940058166,0.24726236765848816,0.17803716169093087
Gate piecewise low=0.2 mid=0.8 high=1 temp=1,0.3070843843462994,0.1653097430109439,0.5151463582769756,0.29382095789485835,0.43644444444444447,0.2634639298800156,0.23211896654473854,0.17420026531209937
Gate piecewise low=0.2 mid=0.9 high=0.9 temp=1,0.33457773144628017,0.1692604246114635,0.5491414533262704,0.29286303587767304,0.4690666666666667,0.2715401140277124,0.24708815163061362,0.1774483589830768
Gate piecewise low=0.2 mid=0.9 high=1 temp=1,0.3069541059312959,0.1651640119492467,0.5152431692375345,0.2938767212606025,0.43653333333333333,0.26380048472751416,0.2319773069750035,0.17358169703469956
Gate piecewise low=0.3 mid=0.4 high=0.6 temp=1,0.392731098654194,0.18115507802699057,0.610158386922301,0.2935048374386863,0.5137777777777778,0.28371689701911684,0.2674205102416279,0.1817702536332493
Gate piecewise low=0.3 mid=0.4 high=0.8 temp=1,0.3579038561062774,0.17321446299805923,0.5705719744734008,0.2899438225906836,0.4802666666666667,0.2713626134930532,0.2529275362896496,0.17806063635730765
Gate piecewise low=0.3 mid=0.4 high=0.9 temp=1,0.328848745198255,0.16796903559573054,0.5319684355414588,0.28975394302298124,0.4455111111111111,0.26229702819391065,0.23610134865315086,0.17480750520902913
Gate piecewise low=0.3 mid=0.4 high=1 temp=1,0.2955574920120405,0.16202688873199433,0.48430282826534277,0.2913679918124427,0.404,0.2502074499029666,0.2142465461678819,0.16662746226323494
Gate piecewise low=0.3 mid=0.6 high=0.6 temp=1,0.3996601936794606,0.18318366571385006,0.6184578662390943,0.29367587839227305,0.5217777777777778,0.2862778400971732,0.27086370874418,0.1825738759193959
Gate piecewise low=0.3 mid=0.6 high=0.8 temp=1,0.3789694440859972,0.17828568690751603,0.5999834694521635,0.2941519834527696,0.5079111111111111,0.2807891338791332,0.26557143776033365,0.18199167550301337
Gate piecewise low=0.3 mid=0.6 high=0.9 temp=1,0.358328518878813,0.17317288622721333,0.581506342081383,0.2932403787697937,0.4895111111111111,0.2752613050098069,0.25781834442340074,0.18158298034771483
Gate piecewise low=0.3 mid=0.6 high=1 temp=1,0.33134271471428767,0.1677016149004905,0.5520548856156298,0.29221384531040695,0.46168888888888887,0.267131533691439,0.2443029491111613,0.1763055523239173
Gate piecewise low=0.3 mid=0.8 high=0.8 temp=1,0.38074606780659415,0.17862956901634683,0.6015979976155942,0.2940545522323244,0.5100444444444445,0.2819231080924846,0.2666787548192803,0.18228162177195648
Gate piecewise low=0.3 mid=0.8 high=0.9 temp=1,0.36331640340378346,0.1745314808238915,0.5854404844926154,0.2940870990126639,0.49635555555555555,0.27856476915370637,0.2611334360069673,0.182614151234902
Gate piecewise low=0.3 mid=0.8 high=1 temp=1,0.33980059799523316,0.16946659245387843,0.5606544309029978,0.29310496909603523,0.47519999999999996,0.2723440148488171,0.25110362085265386,0.17877258480127187
Gate piecewise low=0.3 mid=0.9 high=0.9 temp=1,0.3629388691504073,0.17438693467713734,0.5856419411623492,0.2941353308897364,0.4965333333333333,0.27863093784663073,0.26118981224167176,0.1823299922345884
Gate piecewise low=0.3 mid=0.9 high=1 temp=1,0.34017909082653736,0.16945325686710533,0.5607617290639902,0.29316220850825725,0.4757333333333333,0.2728926946364391,0.2510078414635118,0.17809732382120325
