model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std,matched_AUROC_mean,matched_AUROC_std,matched_AUPR_mean,matched_AUPR_std,pos_gt_ctrl_rate_mean,pos_gt_ctrl_rate_std,external_AUROC,external_AUPR,external_pos_gt_neg_rate
Gate piecewise low=0.2 mid=0.4 high=1 temp=1,0.2763830133021546,0.15935429000064688,0.4616509044438198,0.29184186896714603,0.3844444444444445,0.2456826940473803,0.2044939304933778,0.16500051131752644,0.6890799508077868,0.11999133153648421,0.7190853035203764,0.10661935049923461,0.7154676006544474,0.12815786184440184,0.5189277911028796,0.5192424232629579,0.524569122551355
Gate piecewise low=0.2 mid=0.6 high=0.6 temp=1,0.38746841263198767,0.18027062234773492,0.6081645066235222,0.29458834674998463,0.5144,0.2835394993266124,0.26751367343229093,0.1817059585726993,0.6739842614850718,0.11564193046167384,0.7105334703625755,0.10452785506979065,0.7195162002474893,0.13127173155183283,0.51688850676642,0.5191854029603766,0.5257181290810751
Gate piecewise low=0.2 mid=0.6 high=0.8 temp=1,0.35780144164102157,0.1739259518641749,0.5751630615623325,0.2930071368883811,0.4908444444444444,0.2755674612565987,0.25757559380251166,0.17953815180923055,0.6806816878472466,0.11808091892674441,0.7151774790347675,0.10518188997127417,0.7204022122912187,0.1300518405870787,0.5174903116427528,0.5199905759187315,0.5246700109295743
Gate piecewise low=0.2 mid=0.6 high=0.9 temp=1,0.3322863681226446,0.16875053063445178,0.5466671292315625,0.2925338273715812,0.46515555555555554,0.26917616121364146,0.24533990845743528,0.17740599961036418,0.6833227520191119,0.11896993495668845,0.7166253673955917,0.1053733975847308,0.7190751060581024,0.12988546709551735,0.5175901133756032,0.5200523497977668,0.5247316649384861
Gate piecewise low=0.2 mid=0.6 high=1 temp=1,0.3020191955896091,0.1642795106425196,0.5102710873759004,0.29253632374401084,0.4285333333333334,0.26090359114967354,0.22788189920730262,0.17174947841196042,0.6845939560075073,0.11947907418327158,0.7168797367766874,0.10574552533771915,0.7159212590956373,0.12896491549982386,0.5174767151457236,0.5198280082868494,0.5241375444889723
Gate piecewise low=0.2 mid=0.8 high=0.8 temp=1,0.3584688384705264,0.17390833461190258,0.5763015451367014,0.2929914648793667,0.4923555555555556,0.27655925944107185,0.2580859975437923,0.17954706249239757,0.6747832306519523,0.11502971819237376,0.7116096362427636,0.10365839541958644,0.7204592431986245,0.13020713662289918,0.5166336769609511,0.5197355783026877,0.5243056917860045
Gate piecewise low=0.2 mid=0.8 high=0.9 temp=1,0.3351832240841361,0.16947592444128556,0.5491414533262704,0.29286303587767304,0.4690666666666667,0.27143082940058166,0.24726236765848816,0.17803716169093087,0.6772257032187842,0.11629180641990762,0.7126330440667231,0.10384473629487012,0.719091077437282,0.1301480760871702,0.5168031963087635,0.5199235855660027,0.5243225065157078
Gate piecewise low=0.2 mid=0.8 high=1 temp=1,0.3070843843462994,0.1653097430109439,0.5151463582769756,0.29382095789485835,0.43644444444444447,0.2634639298800156,0.23211896654473854,0.17420026531209937,0.678797763338779,0.11705255233303688,0.7129699709770478,0.10422576553444711,0.7160700696946269,0.12928805751125982,0.5167675661841267,0.519838571780194,0.5237620155256004
Gate piecewise low=0.2 mid=0.9 high=0.9 temp=1,0.33457773144628017,0.1692604246114635,0.5491414533262704,0.29286303587767304,0.4690666666666667,0.2715401140277124,0.24708815163061362,0.1774483589830768,0.6741245338704323,0.1147187280583871,0.7108996067929747,0.10315012437755189,0.7187703257027763,0.12981668294221177,0.5164928233431003,0.519745068732125,0.5243673457949164
Gate piecewise low=0.2 mid=0.9 high=1 temp=1,0.3069541059312959,0.1651640119492467,0.5152431692375345,0.2938767212606025,0.43653333333333333,0.26380048472751416,0.2319773069750035,0.17358169703469956,0.6756520279801536,0.11571186334009559,0.7110854969241737,0.10356084545292857,0.7157339030692019,0.12904509031388037,0.5164845073174048,0.5196838823674856,0.5238180646246111
Gate piecewise low=0.3 mid=0.4 high=0.6 temp=1,0.392731098654194,0.18115507802699057,0.610158386922301,0.2935048374386863,0.5137777777777778,0.28371689701911684,0.2674205102416279,0.1817702536332493,0.678064432932809,0.11714832658975527,0.7130562896164653,0.10538419519851128,0.7191066327673552,0.1307509012762531,0.5195012133770734,0.5191260508447664,0.5284981643920074
Gate piecewise low=0.3 mid=0.4 high=0.8 temp=1,0.3579038561062774,0.17321446299805923,0.5705719744734008,0.2899438225906836,0.4802666666666667,0.2713626134930532,0.2529275362896496,0.17806063635730765,0.6845474966868195,0.11866180955418965,0.7176586007897628,0.10563386298720363,0.7199630958587756,0.12915188549861475,0.5200402180676722,0.5194936201117545,0.527550934618726
Gate piecewise low=0.3 mid=0.4 high=0.9 temp=1,0.328848745198255,0.16796903559573054,0.5319684355414588,0.28975394302298124,0.4455111111111111,0.26229702819391065,0.23610134865315086,0.17480750520902913,0.686782892552856,0.11926253393774977,0.718468286064035,0.10588048824683358,0.7186027053494562,0.12900830752616915,0.5201252696656051,0.5193174464320519,0.5276181935375389
Gate piecewise low=0.3 mid=0.4 high=1 temp=1,0.2955574920120405,0.16202688873199433,0.48430282826534277,0.2913679918124427,0.404,0.2502074499029666,0.2142465461678819,0.16662746226323494,0.6874603130926953,0.1193234355302689,0.7180436349990705,0.10621030723516368,0.7155336850995403,0.1279990151500526,0.5200952538753741,0.5189355963313526,0.5270408878177283
Gate piecewise low=0.3 mid=0.6 high=0.6 temp=1,0.3996601936794606,0.18318366571385006,0.6184578662390943,0.29367587839227305,0.5217777777777778,0.2862778400971732,0.27086370874418,0.1825738759193959,0.6730377700847118,0.11508498890263333,0.7098165852853305,0.10420498045501464,0.719538011659877,0.13133500105596724,0.5174805278290189,0.5186168729312423,0.5278199702939775
Gate piecewise low=0.3 mid=0.6 high=0.8 temp=1,0.3789694440859972,0.17828568690751603,0.5999834694521635,0.2941519834527696,0.5079111111111111,0.2807891338791332,0.26557143776033365,0.18199167550301337,0.6792843835651311,0.11757734083096698,0.7141659002698773,0.104813239228155,0.7204240237036063,0.130080779834541,0.5181911900518882,0.5194630861151764,0.5267718521424768
Gate piecewise low=0.3 mid=0.6 high=0.9 temp=1,0.358328518878813,0.17317288622721333,0.581506342081383,0.2932403787697937,0.4895111111111111,0.2752613050098069,0.25781834442340074,0.18158298034771483,0.6819723502786618,0.11842628231039598,0.7156781974225102,0.10481804327622743,0.71909691747049,0.12995157916133418,0.5183590136171908,0.5196080500891482,0.5268335061513886
Gate piecewise low=0.3 mid=0.6 high=1 temp=1,0.33134271471428767,0.1677016149004905,0.5520548856156298,0.29221384531040695,0.46168888888888887,0.267131533691439,0.2443029491111613,0.1763055523239173,0.6832931941108038,0.11913210438497424,0.7160607645562124,0.105312906368665,0.7159430705080249,0.1290877558914489,0.5183945275848096,0.5195450251815549,0.5262393857018749
Gate piecewise low=0.3 mid=0.8 high=0.8 temp=1,0.38074606780659415,0.17862956901634683,0.6015979976155942,0.2940545522323244,0.5100444444444445,0.2819231080924846,0.2666787548192803,0.18228162177195648,0.6735445189467434,0.11487944814247625,0.71063609087228,0.10344135071549365,0.7204170196583212,0.13019317639308323,0.516949639757308,0.5191232307787,0.5263795084494016
Gate piecewise low=0.3 mid=0.8 high=0.9 temp=1,0.36331640340378346,0.1745314808238915,0.5854404844926154,0.2940870990126639,0.49635555555555555,0.27856476915370637,0.2611334360069673,0.182614151234902,0.6760338940552406,0.11611258892281451,0.7117137953099912,0.10343453959433348,0.7190488538969788,0.13017008404359362,0.5171871809375725,0.5194184148989253,0.5263963231791049
Gate piecewise low=0.3 mid=0.8 high=1 temp=1,0.33980059799523316,0.16946659245387843,0.5606544309029978,0.29310496909603523,0.47519999999999996,0.2723440148488171,0.25110362085265386,0.17877258480127187,0.6776555940189818,0.11707470683885515,0.7122106336937665,0.10398965560758487,0.7160278461543236,0.12935900265590136,0.5173004630104342,0.5195315632668954,0.5258358321889975
Gate piecewise low=0.3 mid=0.9 high=0.9 temp=1,0.3629388691504073,0.17438693467713734,0.5856419411623492,0.2941353308897364,0.4965333333333333,0.27863093784663073,0.26118981224167176,0.1823299922345884,0.6730398638365044,0.11456652561998355,0.7100112771303049,0.10275371113100064,0.7187207765622863,0.12986009818220878,0.5167907111964275,0.5192424163901841,0.5264299526385113
Gate piecewise low=0.3 mid=0.9 high=1 temp=1,0.34017909082653736,0.16945325686710533,0.5607617290639902,0.29316220850825725,0.4757333333333333,0.2728926946364391,0.2510078414635118,0.17809732382120325,0.6746169977899718,0.11573758321534222,0.7103556550208046,0.10332510891369356,0.7156843539287117,0.12913665844832464,0.5169313073682302,0.5193883055575433,0.5258806714682062
Gate piecewise low=0.4 mid=0.4 high=0.6 temp=1,0.39834254173022476,0.1823449943101981,0.6139790760958725,0.2919102755303649,0.5163555555555556,0.28374713798171103,0.26877238225925293,0.1818805553659512,0.676526811190968,0.1164559341676329,0.7121231212847845,0.10509443425326084,0.7188655187049887,0.13098162559868484,0.5194168669676897,0.518458641915197,0.5298825771375725
Gate piecewise low=0.4 mid=0.4 high=0.8 temp=1,0.36634360895761287,0.17454357276941,0.5782492719954364,0.289958031142944,0.4868444444444444,0.2724374984745818,0.2562224046826915,0.17835893478387996,0.6831140862809658,0.1179658018754239,0.7167457304898396,0.10537335968377205,0.7197219817964087,0.12937298443321923,0.5201487961347254,0.5187973147323867,0.5289353473642912
Gate piecewise low=0.4 mid=0.4 high=0.9 temp=1,0.3388933276118068,0.1699311654553193,0.5405009753535771,0.2882851242980901,0.4539555555555556,0.26298904520425087,0.2409044785870252,0.1763747234211719,0.6850489916091944,0.11855579157741569,0.7173777836129606,0.10556148323690322,0.7183615912870895,0.12922205937676612,0.5202759457376582,0.5186064284348774,0.529002606283104
Gate piecewise low=0.4 mid=0.4 high=1 temp=1,0.30655070330655176,0.1640728535984194,0.4969838309924145,0.2891336118541035,0.41386666666666666,0.2506014364652827,0.22031162021628825,0.16838885681339535,0.6856863227009987,0.11860775667720326,0.716897896566655,0.10581053469890943,0.7152925710371735,0.12824206662366008,0.5202907399321343,0.5182288389692459,0.5284253005632934
