model,matched_AUROC_mean,matched_AUROC_std,matched_AUPR_mean,matched_AUPR_std,pos_gt_ctrl_rate_mean,pos_gt_ctrl_rate_std
Gate sigmoid low=0 mid=0 high=1 temp=2,0.6701014135291554,0.12058161719188779,0.699495059043632,0.10937852900976537,0.7065897873828768,0.13530834999241542
Gate sigmoid low=0.1 mid=0 high=0.8 temp=0.5,0.6873784365001229,0.12496689556075981,0.7192287328813921,0.10978182595772933,0.7165386425759406,0.13303619375084746
Gate sigmoid low=0.1 mid=0 high=0.8 temp=1,0.6781581277549192,0.12272659126232581,0.7110189006987673,0.10968028258199984,0.7133166870292189,0.13509413427314584
Gate sigmoid low=0.1 mid=0 high=0.8 temp=2,0.6714921155602549,0.11874419062881407,0.7039854072405897,0.10800003546412176,0.7111704138788212,0.1347132273390524
Gate sigmoid low=0.1 mid=0 high=0.9 temp=0.5,0.6889181745236131,0.1260408772980159,0.7198457171230369,0.11038650988522335,0.7151418356310334,0.13313158546153844
Gate sigmoid low=0.1 mid=0 high=0.9 temp=1,0.6785371118792718,0.12396775678633712,0.7109536839447179,0.11036531119063377,0.7118470868164926,0.135263342651884
Gate sigmoid low=0.1 mid=0 high=0.9 temp=2,0.6716429732900332,0.11942951829506998,0.7040310746485364,0.10824388332453018,0.7109612966454065,0.1351182632024339
Gate sigmoid low=0.1 mid=0 high=1 temp=0.5,0.689119411177232,0.1267589502325731,0.7191443724526553,0.110943309280145,0.7126425896932146,0.13293047188111537
Gate sigmoid low=0.1 mid=0 high=1 temp=1,0.6781589520539519,0.1245861219052841,0.7098917239578594,0.11058614838485263,0.7096655226151654,0.1351918779814722
Gate sigmoid low=0.1 mid=0 high=1 temp=2,0.6711241209347317,0.12025153359507591,0.7028488799584433,0.10878808778270363,0.7100905008004463,0.13510789636692314
Gate sigmoid low=0.2 mid=0 high=0.8 temp=0.5,0.6845109892890203,0.12304282954064165,0.7177061578124461,0.10848636571711785,0.7177863272609708,0.13247857696348017
Gate sigmoid low=0.2 mid=0 high=0.8 temp=1,0.6772855342574855,0.12136054184146718,0.7114098960896217,0.10877659838292515,0.7155496415925642,0.13499804792413375
Gate sigmoid low=0.2 mid=0 high=0.8 temp=2,0.6716654791989046,0.11797910235650885,0.7060199026585221,0.10720341870607822,0.713743056437319,0.13433926043395947
Gate sigmoid low=0.2 mid=0 high=0.9 temp=0.5,0.686183391801795,0.12427734803017214,0.7183043652184873,0.10911254009258015,0.7162825183718754,0.13285805296982647
Gate sigmoid low=0.2 mid=0 high=0.9 temp=1,0.6778470947890366,0.12251030380868541,0.7114553420234282,0.10918992401564771,0.7141760668447942,0.13484886741949695
Gate sigmoid low=0.2 mid=0 high=0.9 temp=2,0.6718356276150145,0.11884753248457505,0.7058877277401646,0.10760737205392021,0.7137111855550612,0.1351831629261453
Gate sigmoid low=0.2 mid=0 high=1 temp=0.5,0.6867251507116849,0.12527836063633443,0.7180138513927838,0.10985209540829646,0.7137425104982477,0.13258353922701804
Gate sigmoid low=0.2 mid=0 high=1 temp=1,0.6776628919385463,0.12304163828783758,0.7105984704761554,0.10949265558105366,0.7126906678703757,0.13464040816534267
Gate sigmoid low=0.2 mid=0 high=1 temp=2,0.6717550442860671,0.11959747242447182,0.7051959556173445,0.1080791021188224,0.7125295825345055,0.1344447900819208
Gate sigmoid low=0.4 mid=0 high=0.8 temp=0.5,0.679149379475336,0.11932165947352062,0.7142711682152559,0.10645725568708406,0.7194990225825556,0.13186999002359737
Gate sigmoid low=0.4 mid=0 high=0.8 temp=1,0.6746552425045771,0.11827499798614567,0.7107574686537499,0.1064375105550371,0.7185323588377125,0.1329322363405986
Gate sigmoid low=0.4 mid=0 high=0.8 temp=2,0.6714769355326049,0.11646085804550985,0.7079488520800131,0.1057726778394479,0.717833494300883,0.13280923289123134
Gate sigmoid low=0.4 mid=0 high=0.9 temp=0.5,0.6806174424643275,0.12080437833740745,0.7149039627424731,0.10701953204203853,0.7172834879234574,0.13256751036957726
Gate sigmoid low=0.4 mid=0 high=0.9 temp=1,0.6755151477455509,0.11940176675546686,0.71097860735077,0.10693060667489528,0.7169670842076875,0.13299778068060045
Gate sigmoid low=0.4 mid=0 high=0.9 temp=2,0.6717114694560415,0.11691924498118565,0.7078462073248925,0.10588182200992995,0.7171952463165038,0.13315429993850586
Gate sigmoid low=0.4 mid=0 high=1 temp=0.5,0.6814144431589988,0.12181173803897655,0.7148466750411051,0.10757659138647321,0.715004121058006,0.13160688803154597
Gate sigmoid low=0.4 mid=0 high=1 temp=1,0.6753508220581742,0.12027111708775505,0.7101441190112107,0.10742434168931736,0.7145644404705651,0.1334185596441796
Gate sigmoid low=0.4 mid=0 high=1 temp=2,0.6715199018919955,0.11773433882981413,0.7070090332670637,0.10635409078064549,0.7160250622644889,0.13334495627276768
Gate sigmoid low=0.6 mid=0 high=0.8 temp=0.5,0.6735833453479119,0.1158297833571536,0.7105589725035836,0.10444059285593688,0.7198477298400042,0.13109713107751722
Gate sigmoid low=0.6 mid=0 high=0.8 temp=1,0.6717148781833038,0.11535217108633783,0.7092113654390668,0.10430785803974092,0.7194796777886098,0.13129435162831996
Gate sigmoid low=0.6 mid=0 high=0.8 temp=2,0.6703046896610417,0.11458615638717252,0.7081090392033299,0.10416900636210519,0.7193457562645008,0.131514716031461
Gate sigmoid low=0.6 mid=0 high=0.9 temp=0.5,0.6750862127356425,0.11724202919511288,0.7111548265044447,0.10484089280683252,0.7178529694284489,0.13148580156301864
