model,external_AUROC,external_AUPR,external_pos_gt_neg_rate
Gate piecewise low=0.7 mid=0.8 high=1 temp=1,0.5182362233188145,0.5170650424363759,0.5276854524563518
Gate piecewise low=0.7 mid=0.9 high=0.9 temp=1,0.517357796041108,0.5167210091798974,0.5279656979514055
Gate piecewise low=0.7 mid=0.9 high=1 temp=1,0.5177256419127991,0.5168832256076776,0.5274164167811003
Gate sigmoid low=0 mid=0 high=0.8 temp=0.5,0.5209203210222788,0.5220347990076009,0.527550934618726
Gate sigmoid low=0 mid=0 high=0.8 temp=1,0.5201954638463445,0.5207751940843934,0.52976487402965
Gate sigmoid low=0 mid=0 high=0.8 temp=2,0.5191463339742858,0.5188149413477801,0.5304150435781745
Gate sigmoid low=0 mid=0 high=0.9 temp=0.5,0.5212785795811549,0.5222274864939844,0.5275789591682314
Gate sigmoid low=0 mid=0 high=0.9 temp=1,0.5203677998644016,0.521011948978214,0.530218871731637
Gate sigmoid low=0 mid=0 high=0.9 temp=2,0.5191687413620343,0.518869724960789,0.5302356864613401
Gate sigmoid low=0 mid=0 high=1 temp=0.5,0.5215686094397051,0.5222476095938211,0.5275341198890228
Gate sigmoid low=0 mid=0 high=1 temp=1,0.5204969989829129,0.5211516481692303,0.5303365748395594
Gate sigmoid low=0 mid=0 high=1 temp=2,0.5191696318206344,0.5188871403602631,0.5298545525880671
Gate sigmoid low=0.1 mid=0 high=0.8 temp=0.5,0.5207229560334715,0.5215821756241973,0.5291090995712244
Gate sigmoid low=0.1 mid=0 high=0.8 temp=1,0.519820993568978,0.5202531712257928,0.5304598828573831
Gate sigmoid low=0.1 mid=0 high=0.8 temp=2,0.5188784129037665,0.518492804913389,0.5301740324524283
Gate sigmoid low=0.1 mid=0 high=0.9 temp=0.5,0.5209954924409195,0.5218197395133253,0.5291707535801362
Gate sigmoid low=0.1 mid=0 high=0.9 temp=1,0.519963728160852,0.5204817560868563,0.5304823024969874
Gate sigmoid low=0.1 mid=0 high=0.9 temp=2,0.5188876853595936,0.518532586113854,0.5298041083989575
Gate sigmoid low=0.1 mid=0 high=1 temp=0.5,0.5212130510013682,0.5218790105470833,0.5290138161029061
Gate sigmoid low=0.1 mid=0 high=1 temp=1,0.520085524802304,0.5206251856827913,0.530218871731637
Gate sigmoid low=0.1 mid=0 high=1 temp=2,0.5188872277999002,0.5185410977419049,0.5296583807415296
Gate sigmoid low=0.2 mid=0 high=0.8 temp=0.5,0.5202739828489836,0.5208957619553244,0.530073144074209
Gate sigmoid low=0.2 mid=0 high=0.8 temp=1,0.5194016189833219,0.519677670199076,0.5301572177227251
Gate sigmoid low=0.2 mid=0 high=0.8 temp=2,0.5185958174085158,0.5181804507894926,0.5298209231286607
Gate sigmoid low=0.2 mid=0 high=0.9 temp=0.5,0.5205127269101723,0.5211837510716432,0.5296471709217274
Gate sigmoid low=0.2 mid=0 high=0.9 temp=1,0.5195349196461916,0.5199051080829075,0.5301123784435166
Gate sigmoid low=0.2 mid=0 high=0.9 temp=2,0.5186054217639763,0.5182064855615404,0.5295462825435081
Gate sigmoid low=0.2 mid=0 high=1 temp=0.5,0.520708848806836,0.5213037654390891,0.5296751954712328
Gate sigmoid low=0.2 mid=0 high=1 temp=1,0.5196532589081679,0.5200475476703892,0.5300058851553962
Gate sigmoid low=0.2 mid=0 high=1 temp=2,0.5186054812954297,0.518182148937183,0.5299722556959897
Gate sigmoid low=0.4 mid=0 high=0.8 temp=0.5,0.5191612730705184,0.5192888443663465,0.5296808003811339
Gate sigmoid low=0.4 mid=0 high=0.8 temp=1,0.5185517399434209,0.5184565972179136,0.5301908471821315
Gate sigmoid low=0.4 mid=0 high=0.8 temp=2,0.5180470478317298,0.5175149800330113,0.5296023316425188
Gate sigmoid low=0.4 mid=0 high=0.9 temp=0.5,0.5194054564844793,0.5196310681926721,0.5291203093910265
Gate sigmoid low=0.4 mid=0 high=0.9 temp=1,0.518683135756856,0.5186561480250662,0.5296247512821232
Gate sigmoid low=0.4 mid=0 high=0.9 temp=2,0.5180595780246124,0.5175027041072042,0.5292211977692458
Gate sigmoid low=0.4 mid=0 high=1 temp=0.5,0.5196121284856301,0.5198446157346575,0.5291875683098394
Gate sigmoid low=0.4 mid=0 high=1 temp=1,0.5188010474604781,0.5187869725951725,0.529081075021719
Gate sigmoid low=0.4 mid=0 high=1 temp=2,0.518062032008509,0.5174353430167089,0.5292268026791469
Gate sigmoid low=0.6 mid=0 high=0.8 temp=0.5,0.5180432238390291,0.5176570779740088,0.5293332959672673
Gate sigmoid low=0.6 mid=0 high=0.8 temp=1,0.5177660268570309,0.5172761113472224,0.5295518874534092
Gate sigmoid low=0.6 mid=0 high=0.8 temp=2,0.5175386456067673,0.5168555299354776,0.5294734187147941
Gate sigmoid low=0.6 mid=0 high=0.9 temp=0.5,0.5182907446271083,0.5179731215132718,0.5289970013732029
Gate sigmoid low=0.6 mid=0 high=0.9 temp=1,0.5178870557155163,0.5174133008891767,0.5292828517781577
Gate sigmoid low=0.6 mid=0 high=0.9 temp=2,0.5175476662712493,0.5167812309793147,0.5289801866434997
Gate sigmoid low=0.6 mid=0 high=1 temp=0.5,0.5185085523086258,0.5182108660458306,0.529002606283104
Gate sigmoid low=0.6 mid=0 high=1 temp=1,0.5179957763282003,0.517500095370727,0.5288064344365664
Gate sigmoid low=0.6 mid=0 high=1 temp=2,0.5175457128856167,0.5166686029861487,0.5281954992573494
