drug_local_idx,model,AP,nDCG@10,P@15,R@15
183,debias pop0.05 no-res,0.36381504322346997,1.0,0.8,0.21818181818181817
184,debias pop0.05 no-res,0.6445565013975619,0.8482378089219648,0.8,0.11650485436893204
185,debias pop0.05 no-res,0.2670273052825301,0.6371523797895857,0.4666666666666667,0.1044776119402985
186,debias pop0.05 no-res,0.5943749001242392,0.9216017310213247,0.9333333333333333,0.125
187,debias pop0.05 no-res,0.7649404996469553,1.0,0.9333333333333333,0.5185185185185185
188,debias pop0.05 no-res,0.16580518323401428,0.3301376494471203,0.13333333333333333,0.10526315789473684
189,debias pop0.05 no-res,0.6626678164282115,1.0,1.0,0.055970149253731345
190,debias pop0.05 no-res,0.2705363530980279,0.49435723575344837,0.5333333333333333,0.18181818181818182
191,debias pop0.05 no-res,0.43689461456029793,0.7670273914429266,0.8,0.21052631578947367
192,debias pop0.05 no-res,0.45638287366228536,0.4935232796777482,0.26666666666666666,0.6666666666666666
193,debias pop0.05 no-res,0.14109837678850065,0.18340980524840014,0.26666666666666666,0.12903225806451613
194,debias pop0.05 no-res,0.33105426855426856,0.48915524981173897,0.2,0.5
195,debias pop0.05 no-res,0.5387276023772544,1.0,1.0,0.15306122448979592
196,debias pop0.05 no-res,0.338124273687141,0.3301376494471203,0.3333333333333333,0.38461538461538464
197,debias pop0.05 no-res,0.5392785648030836,0.9052116356304495,0.6666666666666666,0.23255813953488372
198,debias pop0.05 no-res,0.3841543967801457,0.7630946912803437,0.7333333333333333,0.22448979591836735
199,debias pop0.05 no-res,0.7185241184341903,0.7975167679274939,0.6666666666666666,0.8333333333333334
200,debias pop0.05 no-res,0.5427493207694607,1.0,0.9333333333333333,0.19718309859154928
201,debias pop0.05 no-res,0.3082548035731211,0.6870165078530993,0.4666666666666667,0.20588235294117646
202,debias pop0.05 no-res,0.379010607086527,0.8482378089219648,0.6666666666666666,0.1282051282051282
203,debias pop0.05 no-res,0.5533550074913363,1.0,1.0,0.13761467889908258
204,debias pop0.05 no-res,0.6299524571922872,1.0,1.0,0.0375
205,debias pop0.05 no-res,0.18109549384445645,0.29849003527675555,0.26666666666666666,0.23529411764705882
206,debias pop0.05 no-res,0.3883842651930505,0.535254316775064,0.26666666666666666,0.3333333333333333
207,debias pop0.05 no-res,0.03240660475289994,0.0,0.06666666666666667,0.07692307692307693
208,debias pop0.05 no-res,0.22495797040252502,0.4530643748551538,0.26666666666666666,0.16666666666666666
209,debias pop0.05 no-res,0.4433355978862921,0.8482378089219648,0.6666666666666666,0.2631578947368421
210,debias pop0.05 no-res,0.1398640209891956,0.26845503571754264,0.2,0.3
211,debias pop0.05 no-res,0.251590793093465,0.3667028183788344,0.3333333333333333,0.11904761904761904
212,debias pop0.05 no-res,0.11281308061740226,0.2090493674905264,0.2,0.23076923076923078
213,debias pop0.05 no-res,0.27786329947627497,0.2902597849695646,0.3333333333333333,0.20833333333333334
214,debias pop0.05 no-res,0.1957152075673843,0.23365080824310536,0.13333333333333333,0.08333333333333333
215,debias pop0.05 no-res,0.4146970043240421,0.4779671403625729,0.4666666666666667,0.4666666666666667
216,debias pop0.05 no-res,0.5664323011689789,0.8482378089219648,0.8666666666666667,0.203125
217,debias pop0.05 no-res,0.47163620498342634,0.8643145546088339,0.6666666666666666,0.30303030303030304
218,debias pop0.05 no-res,0.5101075116417099,0.9363792118010483,0.8666666666666667,0.2765957446808511
219,debias pop0.05 no-res,0.06973236198698504,0.06943122193677728,0.13333333333333333,0.13333333333333333
220,debias pop0.05 no-res,0.18636320214675775,0.1909208661789347,0.2,0.5
221,debias pop0.05 no-res,0.6623683487136732,1.0,1.0,0.05338078291814947
222,debias pop0.05 no-res,0.6661916101231409,1.0,1.0,0.05976095617529881
223,debias pop0.05 no-res,0.5622194616977226,0.6992148198508501,0.2,0.6
224,debias pop0.05 no-res,0.14966579976248973,0.1909208661789347,0.06666666666666667,0.16666666666666666
0,debias pop0.02 residual,0.5460923016362988,1.0,0.9333333333333333,0.14
1,debias pop0.02 residual,0.037239250627672124,0.1100458831490401,0.06666666666666667,0.045454545454545456
2,debias pop0.02 residual,0.35213923620787985,0.5388856921828066,0.26666666666666666,0.2857142857142857
3,debias pop0.02 residual,0.41070912046275226,0.7183424120903082,0.6,0.375
4,debias pop0.02 residual,0.16183557693237513,0.1963279042557385,0.2,0.5
5,debias pop0.02 residual,0.040215437608824484,0.0,0.0,0.0
6,debias pop0.02 residual,0.3758741959507692,0.8115558478722846,0.6666666666666666,0.15873015873015872
7,debias pop0.02 residual,0.20267064787029332,0.4553242592576837,0.3333333333333333,0.2777777777777778
8,debias pop0.02 residual,0.6530405616454293,0.9337457765456111,0.8666666666666667,0.15476190476190477
9,debias pop0.02 residual,0.47120059432331,0.6235540477207573,0.4666666666666667,0.5
10,debias pop0.02 residual,0.3817948644729143,0.72891152902702,0.6,0.1836734693877551
11,debias pop0.02 residual,0.15203785075547338,0.27727342735504823,0.13333333333333333,0.4
12,debias pop0.02 residual,0.5373997047502017,0.9305687780632229,0.9333333333333333,0.0707070707070707
13,debias pop0.02 residual,0.35206283277165973,0.6489315753318466,0.4666666666666667,0.2692307692307692
14,debias pop0.02 residual,0.4312254231144014,0.6843830725976621,0.5333333333333333,0.27586206896551724
