drug_local_idx,model,matched_AUROC,matched_AUPR,pos_gt_ctrl_rate,pos_minus_ctrl_score
132,debias pop0.02 no-res,0.41019771071800204,0.49938256773957773,0.36129032258064514,-0.2162392090345102
132,debias pop0.05 no-res,0.41519250780437045,0.4854749641461972,0.3419354838709677,-0.2475476824828694
132,debias pop0.02 residual,0.4493236212278876,0.5203637269217102,0.3935483870967742,-0.11651129741822519
132,debias weighted rb1.5,0.49510926118626425,0.5386616944412345,0.4645161290322581,0.01531656589359045
132,debias weighted rb2.0,0.48511966701352754,0.5440550287124202,0.47096774193548385,-0.02758503157284952
132,matched-BPR pop0.05 no-res,0.4755463059313216,0.5344425456234878,0.4645161290322581,-0.03435271615462918
132,matched-BPR pop0.10 no-res,0.4297606659729449,0.495063693003409,0.3870967741935484,-0.1690406739050823
132,matched-BPR pop0.05 residual,0.46409989594172735,0.528238751070712,0.43870967741935485,-0.058830295719446674
132,Global popularity,0.57003121748179,0.5759183337682199,0.6129032258064516,0.042781362007168464
133,CAFNet,0.7484056305659293,0.7275246721824643,0.7593220338983051,0.6994063177477505
133,CAFNet-D full,0.7137604136742316,0.7296550303797776,0.7457627118644068,0.6260130426072973
133,debias pop0.02 no-res,0.6468256248204539,0.6793386323107768,0.6745762711864407,0.28096094563311375
133,debias pop0.05 no-res,0.6292444699798908,0.6743354558761557,0.6338983050847458,0.2284589766382666
133,debias pop0.02 residual,0.6251077276644643,0.6620664606468009,0.6338983050847458,0.3057638864017139
133,debias weighted rb1.5,0.5903476012640045,0.6340907275301684,0.6,0.14955872024204267
133,debias weighted rb2.0,0.651364550416547,0.6916729579970783,0.6745762711864407,0.196433935945822
133,matched-BPR pop0.05 no-res,0.671301350186728,0.7083728424808198,0.688135593220339,0.39933491966734497
133,matched-BPR pop0.10 no-res,0.5902326917552427,0.6361286155792301,0.5694915254237288,0.30716533993323475
133,matched-BPR pop0.05 residual,0.6190749784544671,0.6615641002453144,0.6237288135593221,0.3025427528799085
133,Global popularity,0.636943407066935,0.6794772276385528,0.6779661016949152,0.07875957313245448
134,CAFNet,0.6843253968253968,0.663910437069583,0.7214285714285714,0.7596877591240974
134,CAFNet-D full,0.6120748299319727,0.6625085395314592,0.6738095238095239,0.6994580393723612
134,debias pop0.02 no-res,0.561734693877551,0.6505981311842776,0.5904761904761905,0.1545071834903432
134,debias pop0.05 no-res,0.5796201814058957,0.6611053166738372,0.6357142857142857,0.24097150281914287
134,debias pop0.02 residual,0.5745464852607709,0.6432205834118455,0.6190476190476191,0.21836791221340673
134,debias weighted rb1.5,0.5964285714285714,0.6514612284884886,0.6238095238095238,0.271261786515381
134,debias weighted rb2.0,0.5821428571428572,0.652505439066138,0.6642857142857143,0.19726074535532723
134,matched-BPR pop0.05 no-res,0.5785714285714285,0.6538233634103153,0.6238095238095238,0.26459249650749067
134,matched-BPR pop0.10 no-res,0.5947278911564626,0.6557172591850582,0.6428571428571429,0.3565044189625908
134,matched-BPR pop0.05 residual,0.5804421768707483,0.659651249851375,0.6595238095238095,0.28129280043898947
134,Global popularity,0.5920068027210885,0.6718028629678374,0.6452380952380953,0.0718236331569665
