drug_local_idx,model,group,AP,nDCG@10,P@15,R@15
27,debias pop0.02 no-res,rare,0.007864173740950994,0.0,0.0,0.0
27,debias pop0.02 no-res,middle,0.028712484503022526,0.0,0.0,0.0
27,debias pop0.02 no-res,frequent,0.5933815856535787,0.9363792118010483,0.7333333333333333,0.3235294117647059
28,debias pop0.02 no-res,rare,,,,
28,debias pop0.02 no-res,middle,0.0136986301369863,0.0,0.0,0.0
28,debias pop0.02 no-res,frequent,0.05895650773575837,0.0,0.06666666666666667,0.16666666666666666
29,debias pop0.02 no-res,rare,0.02768895348837209,0.0,0.0,0.0
29,debias pop0.02 no-res,middle,0.05292976080173003,0.0,0.06666666666666667,0.09090909090909091
29,debias pop0.02 no-res,frequent,0.37946826429958447,0.38459377241376097,0.5333333333333333,0.22857142857142856
30,debias pop0.02 no-res,rare,0.023255813953488372,0.0,0.0,0.0
30,debias pop0.02 no-res,middle,,,,
30,debias pop0.02 no-res,frequent,0.5672364458565041,0.6987957033953602,0.5333333333333333,0.5333333333333333
31,debias pop0.02 no-res,rare,0.004807692307692308,0.0,0.0,0.0
31,debias pop0.02 no-res,middle,0.014170733795701686,0.0,0.0,0.0
31,debias pop0.02 no-res,frequent,0.42560030895292844,0.7026305163854646,0.6,0.4090909090909091
32,debias pop0.02 no-res,rare,0.011111111111111112,0.0,0.0,0.0
32,debias pop0.02 no-res,middle,0.01833661540385096,0.0,0.0,0.0
32,debias pop0.02 no-res,frequent,0.368108960173071,0.6083169141195839,0.3333333333333333,0.22727272727272727
33,debias pop0.02 no-res,rare,0.027777777777777776,0.0,0.0,0.0
33,debias pop0.02 no-res,middle,0.1111111111111111,0.3010299956639812,0.06666666666666667,1.0
33,debias pop0.02 no-res,frequent,0.22416457427655656,0.2140837143698417,0.26666666666666666,0.2857142857142857
34,debias pop0.02 no-res,rare,0.01020408163265306,0.0,0.0,0.0
34,debias pop0.02 no-res,middle,0.02166441682570715,0.0,0.0,0.0
34,debias pop0.02 no-res,frequent,0.5541409173943599,0.7788065869851875,0.7333333333333333,0.3333333333333333
35,debias pop0.02 no-res,rare,0.2272983643542019,0.40179981797758046,0.13333333333333333,0.6666666666666666
35,debias pop0.02 no-res,middle,0.06477732793522267,0.0,0.0,0.0
